cam1_X,cam1_Y,cam2_X,cam2_Y
876.058876,623.945195,444.287070,551.679458
892.691720,627.190628,463.911797,552.135847
944.212967,633.681493,522.329590,553.505014
960.440131,635.304210,542.867095,554.417792
872.813443,606.906672,448.850960,532.967509
889.851966,610.152105,468.932076,532.967509
941.778892,615.425933,526.437091,534.336676
958.411736,619.077045,548.343763,533.880287
858.208995,600.821485,464.824575,523.839729
965.713960,589.056791,544.236262,502.389446
855.774920,585.811358,469.388465,508.322503
872.002085,587.839754,489.469581,508.322503
890.257645,590.273828,509.094309,510.148059
962.062848,572.829627,549.256541,482.308330
875.247518,545.649126,453.871239,464.965548
893.503078,547.677522,476.690689,464.965548
910.135921,550.517276,495.402638,466.791104
914.598392,565.527403,523.698757,477.288051
958.817415,556.196783,555.645987,463.139992
873.219122,528.610604,460.717074,445.340821
891.069003,530.233320,478.516245,444.884432
907.701847,532.667395,499.966529,445.797210
956.383340,539.158260,559.753488,448.079155
