pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
26.834610,-14.258662,16.276730,4.683305,-17.051302,8.422154
26.675447,-14.225562,16.556080,4.661720,-17.264664,8.200327
26.735730,-14.411185,16.554175,4.688591,-17.429454,8.335641
27.075894,-14.801005,16.790445,4.949293,-17.273911,8.460969
27.002396,-14.886065,16.835252,4.905992,-17.434042,8.501568
27.058777,-15.197828,16.827409,4.936326,-17.621365,8.662410
27.287142,-15.275007,17.127298,5.043181,-17.731408,8.784607
27.001790,-15.311021,16.959632,4.913689,-17.899983,8.694779
27.059415,-15.380826,16.979572,4.826100,-17.746878,8.898054
27.056465,-15.369473,17.048708,4.982857,-17.897981,8.708223
26.952293,-15.459189,16.982182,4.874110,-18.053165,8.824065
27.210180,-15.524770,17.267795,4.988733,-18.143775,8.925746
27.271957,-15.695434,17.354975,4.985844,-18.195650,8.958017
27.221981,-15.902914,17.397032,4.934066,-18.339592,9.045682
27.182659,-15.856902,17.443837,4.921441,-18.496946,9.010132
27.180996,-15.834900,17.475867,4.917537,-18.438183,9.014623
27.136011,-15.986954,17.479330,4.963510,-18.265458,9.112973
27.199377,-15.778646,17.457307,4.955936,-18.322133,9.126513
27.262895,-15.807899,17.428877,4.933048,-18.327930,9.076945
27.516401,-15.710351,17.787320,4.978777,-18.272557,9.140563
27.093700,-15.605030,17.601316,4.688399,-18.643996,9.088548
27.343785,-15.717100,17.388557,4.637942,-18.745020,9.168035
27.595121,-16.192086,17.466816,5.036888,-18.141735,9.288788
27.202796,-15.815208,17.464139,4.832961,-18.338945,9.010159
27.130747,-15.577375,17.485039,4.619536,-18.514764,9.036667
27.556539,-15.827774,17.641696,4.943533,-18.090763,9.215884
27.565486,-15.953597,17.707302,4.968358,-18.013011,9.397887
27.550187,-15.849491,17.587970,4.852871,-18.359310,9.505294
27.949952,-15.933978,17.746691,5.002906,-18.459903,9.734692
27.952231,-16.523001,17.927780,5.188639,-18.431015,9.959321
27.507047,-16.658420,17.692365,5.108510,-18.632521,9.826233
27.963965,-16.411584,17.852075,5.150312,-18.722721,10.013150
28.253310,-16.590156,18.169755,5.247350,-18.647646,10.102446
27.928670,-16.657442,17.966744,5.112369,-18.920892,10.015560
28.151825,-16.851736,17.760664,5.235351,-18.981763,10.137291
28.302144,-17.079408,18.183857,5.343866,-18.858084,10.335904
27.772714,-17.038167,18.208807,5.022768,-19.243015,10.134767
27.977496,-17.097665,17.999662,5.031455,-19.367407,10.528998
28.270985,-17.133657,18.242247,5.228408,-19.220302,10.696086
28.019531,-17.287993,17.993496,5.202881,-19.373236,10.751722
28.114600,-17.044186,17.767531,5.308383,-19.243153,10.749609
28.069976,-16.464085,17.616056,5.409766,-19.262985,10.467206
27.940345,-15.875634,17.069961,5.413635,-19.236200,10.458460
28.244159,-15.328364,16.366872,5.581878,-18.968664,10.869824
28.283098,-14.781987,15.885002,5.600977,-18.738810,11.011753
27.963571,-14.126937,15.267877,5.442232,-18.762467,10.996607
28.025567,-13.769659,14.548433,5.458090,-18.479126,10.913613
27.664344,-13.246461,13.979056,5.429082,-18.213924,10.857705
27.410462,-12.743082,13.059495,5.349319,-18.194029,10.694378
27.919121,-12.396892,12.190529,5.509964,-17.892919,10.764909
27.924519,-12.051708,11.486745,5.079228,-17.321594,11.962055
28.412611,-11.515176,11.385174,4.990345,-17.167063,12.679773
28.553192,-11.136327,11.027414,5.646332,-17.208675,12.560038
27.750334,-10.786830,9.975685,5.383261,-17.137485,13.447254
28.250671,-10.700927,9.348024,6.033716,-16.685306,13.359778
29.134475,-10.623495,8.852058,6.309059,-15.221230,13.402921
28.955845,-10.178101,8.427726,6.824242,-15.082542,13.094517
30.043506,-10.085751,7.148631,7.302815,-13.814469,12.443279
31.070837,-9.309911,6.593716,8.180207,-11.840990,11.073152
31.291229,-8.670786,7.031208,8.429008,-11.771673,10.961862
32.026003,-8.761406,7.607962,9.310282,-10.705825,11.190189
32.611131,-8.903860,8.019012,9.772903,-10.468645,11.565569
32.595760,-9.027652,8.362610,9.614142,-10.868652,11.963578
32.981278,-9.808628,8.251772,9.781490,-10.934421,12.317193
33.591735,-10.440709,8.760212,10.246625,-11.329489,12.652203
33.677284,-10.930343,9.089432,10.528527,-11.625124,13.223957
33.593032,-11.279760,9.166865,10.898503,-11.707837,13.809783
33.541279,-11.371692,9.099423,11.177381,-11.578813,14.238169
33.553690,-11.000932,8.495545,11.363241,-11.563364,14.869216
33.358863,-10.614434,7.811120,11.844688,-11.926899,15.495424
32.900942,-10.329875,6.547580,12.427498,-11.789653,16.739480
32.725991,-9.665758,5.103977,13.004459,-11.514280,17.697882
33.084002,-8.821227,4.142112,13.609168,-11.077489,18.287719
33.815652,-8.457981,4.055186,14.531500,-10.990678,18.979624
34.563629,-8.509458,4.627847,15.672624,-10.968986,19.790249
35.039987,-8.670995,4.806821,16.431813,-10.840019,19.808255
35.321793,-8.864804,4.849352,16.759279,-10.752199,19.782374
35.109261,-9.152757,4.953230,16.903311,-10.991585,20.023816
34.887872,-9.454816,4.844035,17.103559,-11.456093,20.278306
34.553724,-9.344708,4.387839,18.026864,-11.207041,21.679246
34.308039,-9.174839,3.108756,18.223263,-10.418850,21.350671
35.031204,-8.939201,2.386123,18.799374,-9.682419,20.839182
36.829264,-8.847175,3.585843,19.744688,-8.996709,20.580038
37.643755,-9.517453,3.725449,20.122683,-8.512743,19.394921
38.177162,-10.010490,4.028338,20.471645,-8.179822,18.770641
38.700672,-10.562769,4.196083,20.646221,-7.973739,18.003112
39.028361,-11.148304,4.282176,20.653841,-7.832734,17.144403
38.936813,-11.453963,4.316695,20.545537,-8.119684,16.378277
38.445897,-11.457022,4.169948,20.238428,-8.329772,15.466642
38.472505,-11.423346,3.377574,19.903553,-8.135242,14.721102
38.350218,-11.160674,3.037025,19.788033,-7.804756,14.507446
38.869819,-11.079150,3.058230,20.157582,-7.545811,14.496322
39.286511,-11.264830,3.460367,20.409017,-7.483556,13.838728
