cam1_X,cam1_Y,cam2_X,cam2_Y
824.521346,645.803217,427.272897,564.464456
841.154190,649.048650,447.354013,565.833623
894.703832,655.945195,504.402638,568.115568
910.930997,658.784948,524.483755,568.115568
822.898630,628.359015,431.380398,546.208896
839.531473,631.198769,452.374292,547.121674
892.675437,638.500993,510.792085,548.947230
910.930997,641.340747,529.960423,549.860008
809.105540,620.245433,449.179569,536.624727
919.450258,613.754567,528.134867,518.369167
808.699861,602.801231,453.287070,520.651112
826.549742,604.018268,471.542630,522.476668
843.993944,606.858022,492.080135,522.933057
917.016184,596.310365,533.155146,498.744440
829.795175,565.478753,440.051789,478.206935
848.456414,568.318507,459.220127,479.119713
864.683578,571.563940,478.388465,479.576102
870.363086,584.545671,508.510140,492.354994
916.204825,578.054805,538.631814,478.663324
829.389496,548.034551,444.159290,458.582208
846.428018,550.874305,465.153184,460.864153
863.060862,554.119738,483.865133,460.407764
913.770751,561.016283,542.739315,461.320542
