pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
3.879188,4.421480,6.485369,4.688977,5.606585,8.497891
3.445819,4.341881,6.726964,4.753095,5.543344,7.895594
3.938129,4.496464,6.868499,4.932498,5.771341,8.862606
3.725121,4.482532,7.211725,4.475556,5.624559,7.927901
3.549504,4.468882,7.148851,4.601330,5.294625,8.646198
3.456274,5.137896,7.433220,4.483313,5.796906,8.315855
3.932091,4.957100,6.710135,4.409753,5.788128,8.215405
3.789356,4.239095,6.855673,4.770297,5.381153,7.948547
3.732168,4.470046,6.932392,4.636690,5.644003,8.245337
3.735607,4.806009,7.173157,4.975828,5.341062,8.301848
3.945233,4.993890,7.428901,4.607570,5.440305,8.207360
3.480954,4.785889,6.901339,4.665163,5.974783,8.046751
3.662589,4.590296,7.033822,4.565748,5.822669,8.114447
3.432856,4.520663,6.744013,4.672488,5.744470,8.239758
3.585944,4.278548,6.869360,4.887567,6.057352,8.878819
3.601053,4.491375,6.898259,4.965326,5.744220,8.059585
3.809868,4.660354,7.339792,5.199244,6.356002,8.541053
3.559899,4.333164,6.865012,4.613120,5.627817,8.284060
3.831999,4.602950,7.158009,4.667227,5.548391,8.128197
3.651284,4.592246,6.472576,4.869868,5.291882,7.658182
3.850344,5.048684,6.592566,4.417618,5.637441,7.921726
3.561710,4.385510,6.668006,4.906367,5.475401,8.187455
3.901332,4.539856,7.107142,4.840370,5.362006,7.678532
3.628884,4.957240,7.729020,4.348702,6.111339,8.767114
3.798434,4.806852,6.977646,4.610518,5.672819,8.250501
3.800952,4.368944,6.836243,4.765137,5.705246,8.247342
3.549241,4.499211,6.803542,4.909525,5.414843,8.713708
3.438447,4.354843,7.062780,4.228927,5.907292,8.358034
3.739205,4.792247,6.991990,4.862116,5.826836,8.087007
3.838250,4.780488,6.767462,4.651156,5.475672,8.336147
3.485509,4.549284,7.266332,4.649020,5.429273,8.404894
3.718007,4.725420,6.857377,4.804443,5.914773,8.624197
3.964407,5.164012,7.588444,4.722705,6.261768,7.982151
3.721833,4.474851,6.584781,4.570495,5.644312,8.252464
3.468052,4.461454,7.028025,4.332917,5.330761,7.964101
3.562876,4.611680,7.765451,4.394169,5.767056,8.123163
3.493665,4.536330,6.957458,4.889741,5.695361,8.310939
3.733492,4.868080,7.194120,5.073795,6.076660,8.098929
3.579140,4.588905,7.044753,4.609098,5.712145,8.846779
3.919886,4.801260,7.411788,4.616114,5.682416,8.694938
3.483474,4.567184,6.997873,4.723786,5.811290,9.113525
3.636304,4.422967,6.386657,4.763827,5.476642,7.627952
3.644705,4.629389,7.890192,4.776145,5.456359,8.120394
3.917154,4.473465,6.935103,4.572499,5.336258,8.528476
3.716405,4.560530,7.229862,4.763553,5.502381,8.352280
3.800208,4.678809,7.281942,4.574426,5.788155,8.047184
3.799253,4.629294,7.109840,4.767109,6.089017,8.679336
3.712736,4.875772,7.426064,4.480181,5.657416,8.259996
3.746794,4.819293,7.156774,4.488759,5.641229,8.344931
3.626725,4.413868,6.515147,4.487196,5.502773,8.514533
3.706673,4.783638,7.339268,4.536345,5.684256,8.749161
3.749053,4.713414,6.508182,4.398417,5.917279,8.601853
3.903578,4.609605,7.337096,4.936430,5.777061,8.377300
3.647160,4.614823,6.654358,4.696093,5.840656,8.125380
3.812044,4.780306,7.351640,4.526963,5.317490,8.497093
3.614545,4.508563,6.739245,4.840661,5.526170,8.344846
3.686607,4.383384,6.997225,4.792226,5.481569,8.500223
3.396819,4.510571,7.236935,4.729605,5.677719,8.590921
3.721582,4.370244,6.976510,4.902952,5.650761,8.241753
3.619360,4.447744,6.549805,4.485206,5.508809,8.369331
3.929034,4.691234,6.855729,4.174456,5.091469,8.216848
3.798116,4.605135,6.569123,4.488009,5.528377,8.610278
3.762441,4.508555,6.879995,4.463179,5.948771,8.926999
3.510462,4.522576,6.389283,4.746727,6.151407,8.158566
3.771088,4.305902,6.577702,4.826101,5.788299,8.277079
3.513909,4.650161,7.059368,4.711841,5.412774,7.693796
3.699050,4.610695,7.065392,4.598780,5.498439,8.242375
3.563510,4.541760,6.707178,4.975658,5.578104,8.023542
4.030729,4.671343,6.831144,4.877968,5.671333,8.020924
3.561819,4.602408,6.694258,4.403760,5.616871,8.803601
3.525895,4.357791,6.627164,4.860697,5.446016,8.063853
3.443732,4.662321,6.785451,4.801598,5.296330,8.105681
3.789557,4.562833,6.564557,4.985643,5.640029,7.916181
3.867263,4.693411,6.851298,4.585209,5.567661,8.789243
3.482959,4.665462,6.811579,4.665044,5.549784,8.236388
3.768522,4.701263,7.149594,4.559879,5.545114,8.451479
3.685088,4.944397,7.007232,4.425209,5.874192,8.034106
3.769507,4.429007,6.746844,4.740913,5.907680,8.651780
3.746812,4.261160,5.880515,4.550565,5.345594,8.032422
3.661306,4.520573,6.787226,4.533686,5.721338,8.107808
3.817701,4.231087,6.633351,4.882089,5.455381,8.049061
3.457686,4.853437,7.073283,4.730015,5.466864,7.858879
3.869836,4.316334,6.628305,4.659922,5.389120,8.539038
3.527211,4.565581,6.958907,5.066833,5.284963,8.024192
3.475259,4.555015,6.877925,4.471768,5.868562,8.449589
3.572333,4.364662,7.052159,5.179018,5.751496,8.135906
3.962444,4.551304,6.610758,5.287689,5.868639,8.618840
3.725597,4.810644,7.002318,4.933081,5.447613,8.407759
3.590769,4.456800,6.657601,4.430071,5.687588,8.282062
3.519105,4.250232,7.190299,4.667221,5.686500,8.902326
3.516756,4.106370,5.908773,4.360580,5.184768,7.876049
3.782270,4.678739,7.011124,4.788913,5.867768,8.257480
3.848960,4.585765,6.441263,4.626703,5.584676,7.818357
3.796388,4.133465,6.727122,4.789995,5.896077,8.061603
3.644293,4.249128,6.880570,4.793710,5.307600,7.751606
3.389872,4.124417,7.101636,4.630002,5.224234,7.693988
3.700506,4.582985,7.243781,4.743750,5.708703,8.407128
3.462449,4.510123,7.419644,4.925607,6.176707,8.791370
3.799139,4.166981,6.792397,4.570935,5.758643,7.926568
4.175193,4.163386,6.510223,4.669810,5.407122,8.004071
3.829579,4.385748,7.248435,4.550568,5.753042,7.818452
3.848936,4.473332,6.571379,4.565357,5.436129,8.269853
3.920775,4.610278,7.133117,4.745021,5.616279,7.664910
3.675155,4.669218,6.812042,4.956576,5.295166,8.678539
3.766911,4.186186,6.226307,4.723118,5.481756,8.449729
3.542096,4.336235,6.439834,4.580824,5.628103,8.019972
3.534350,4.311508,6.232609,4.791972,5.859607,7.494072
3.688880,4.103947,6.147706,4.833031,5.584160,7.917420
3.644233,4.499857,7.253830,4.504472,5.266697,7.923051
3.559133,4.746521,7.345399,4.843384,5.271489,8.061585
3.827992,4.136374,6.469837,4.705768,5.691409,8.233734
3.880147,4.330082,6.294805,5.209797,5.477255,8.521587
3.511969,4.259448,7.015496,4.618762,5.650042,8.149204
3.690024,3.907418,6.073572,4.770073,6.088699,8.434126
3.548424,4.309237,6.761942,4.811935,5.717821,7.701008
3.489189,4.529073,6.541389,4.658102,5.634016,8.205698
3.772859,4.508083,6.432898,4.961340,6.258926,8.115534
3.670255,4.359299,6.586517,4.847096,5.627884,7.865817
