pt1_dltres,pt2_dltres,pt3_dltres
5.238959,8.134234,9.617496
6.648065,6.962493,10.057350
7.457418,8.689968,9.248114
8.392345,6.791792,8.135664
9.840384,10.419528,10.554357
4.529140,10.492929,7.611593
4.135196,9.650729,8.638370
9.663950,7.990994,9.076166
9.486356,7.279273,10.172064
10.077260,7.698681,9.551556
11.142495,10.688900,11.263430
10.904493,8.173090,9.633307
10.273081,9.243389,8.270775
9.496439,12.033123,8.366890
8.800370,10.423053,7.081063
10.183590,6.855326,10.909573
12.314193,6.293338,9.515285
10.068438,8.085518,9.819063
9.154796,8.495530,7.643668
11.520841,10.661219,12.953789
11.565803,7.963324,8.795485
8.584652,5.770691,5.862657
8.402213,5.832102,10.084723
9.364794,10.150079,10.805053
8.741216,9.946684,10.763772
11.576793,10.140995,9.923570
9.403466,5.496800,10.870114
9.447305,5.782091,11.314666
12.501578,7.218113,11.188315
13.263354,10.194934,9.473717
15.110084,8.124929,10.399889
11.979801,6.979378,10.406392
11.167868,7.091307,11.848295
12.380179,4.678960,12.064306
12.021202,5.768319,9.828114
12.226286,9.924355,9.697442
14.510000,5.733218,9.727192
11.817038,11.068821,9.539502
10.936891,7.699408,9.035592
13.557995,6.166405,8.475662
9.146164,8.054830,8.193809
14.195671,10.332178,10.498701
12.395088,12.438991,10.530324
12.190516,11.072987,10.763102
13.543630,12.744595,13.368549
12.655365,9.843802,12.683895
13.685542,8.846177,13.113008
12.358291,8.523534,14.144835
12.635908,8.955857,15.419808
10.840389,11.929183,9.985605
10.584673,11.387791,9.975339
13.295157,12.756093,9.886734
11.840454,11.135882,11.410890
19.041517,15.412301,11.351430
9.928093,21.021639,9.671065
8.731831,19.326387,5.466486
6.361016,13.659439,6.442301
3.672028,0.124178,10.099421
4.560222,7.957633,7.579372
6.918317,2.691208,8.967478
5.003598,1.444647,9.484164
1.048677,2.251834,10.333415
0.407467,0.761145,11.106668
2.268972,3.941800,8.665332
4.699495,1.311260,13.682956
7.868202,0.206013,14.688055
12.917883,2.785048,8.537381
14.747234,0.128492,7.919784
11.710133,1.271497,7.677833
11.420197,9.972185,8.922288
11.545953,10.313022,8.056865
13.687416,1.959199,7.569741
12.061507,2.005846,7.842764
11.744759,2.475777,7.743522
9.864090,2.978292,8.636107
10.984934,3.469131,9.381620
10.391748,2.114745,9.006111
11.722744,2.035497,9.701768
10.455951,1.937481,10.011932
10.498622,2.040747,8.164545
12.826493,0.743089,8.784445
14.405688,1.057966,8.680199
14.547705,1.365073,9.562187
15.705957,1.686284,9.136831
13.802265,1.782309,9.014434
11.130086,1.766680,8.459270
11.105778,0.381051,6.772050
15.534313,2.038258,8.055834
7.429874,0.870532,11.144799
6.553534,0.440209,13.839029
8.892910,5.237843,6.309279
12.776497,5.431633,6.725173
12.341177,7.740708,6.850368
9.913116,3.771186,6.475490
11.302138,7.195000,7.369015
10.556459,7.706637,7.898149
9.483588,4.605033,8.315454
12.570239,5.100633,6.868260
12.912182,5.683899,9.198045
14.982126,6.461835,9.390240
15.775356,6.681837,10.451807
12.788915,9.941029,10.321227
14.842063,3.858048,9.201084
12.979190,5.474147,7.250554
15.503172,7.467171,8.036653
9.021693,4.533981,8.439688
10.133169,6.486722,6.864176
13.436418,4.989278,8.474627
16.427512,3.518701,10.543561
10.220339,2.269668,7.660790
10.095111,2.271251,8.717357
9.439176,2.717979,6.568646
10.584939,2.662672,6.315246
12.791522,2.084442,6.322137
13.411559,0.486040,8.264961
12.618017,2.366145,10.828426
12.274542,2.148831,7.599755
16.099154,1.274208,9.288252
11.770322,3.713746,9.296062
11.413101,3.914927,9.313528
14.068111,0.958669,8.451136
8.611648,2.142542,8.352048
12.588913,2.539731,6.105156
7.695417,1.592912,7.949865
8.948435,1.392553,8.366553
10.482520,3.869441,9.753747
12.627847,0.230100,8.232299
5.925874,0.171408,5.860844
8.765831,0.577143,9.971174
5.554259,2.020083,9.629382
9.089170,2.892173,12.071086
11.915377,1.794304,12.540864
9.216577,2.275639,12.545241
7.130953,1.382335,11.244333
9.078144,0.621826,11.003056
8.340088,1.512954,8.314028
8.298695,1.215970,7.230697
10.713432,0.987408,10.958157
5.188873,2.117950,8.825478
9.398205,0.240098,12.291165
13.047832,1.236994,8.839028
10.312988,2.905918,12.336808
10.643104,2.934693,6.727914
9.419963,4.447960,8.286340
12.882652,2.256188,9.095259
10.628850,1.065076,9.864061
11.600287,2.958335,9.807283
11.350314,2.912976,9.046984
12.201931,2.901875,8.842107
12.326980,2.877656,9.262577
11.914214,1.653079,10.302803
10.325010,0.183464,10.671774
7.194737,1.245720,9.176158
7.396459,0.328960,7.630944
7.742950,1.955299,8.176795
8.157776,2.037579,8.333535
5.930190,1.881302,8.829522
6.091342,0.589687,9.667704
6.875167,0.536339,7.756731
7.871605,1.542118,5.424908
11.030170,4.120997,7.082019
12.232203,2.476864,8.361135
10.927817,1.541203,8.406250
7.886716,1.151827,8.237699
7.963187,1.668221,6.948670
7.771139,1.211043,8.558817
10.642879,1.436554,9.778910
15.372747,1.676548,9.228801
15.719640,0.214949,6.098855
15.747555,1.851283,4.555461
12.211070,4.281199,3.772136
7.344070,2.995594,4.153264
7.695495,2.126202,4.554346
9.961757,2.215364,4.611361
9.346301,0.211896,6.084630
9.114489,2.131809,5.236313
10.995803,2.857262,7.964642
5.704663,6.478874,10.577907
7.398905,3.003262,8.494067
9.396172,1.610111,6.630444
9.730363,0.199100,8.514958
7.800665,1.981619,7.638544
7.090233,2.531241,5.747529
4.576494,3.170134,7.112903
7.266349,0.616308,4.282719
8.225580,0.929608,6.175691
8.395948,0.292369,4.456839
4.166830,1.718276,4.699867
0.534581,1.673567,2.890422
1.878379,0.800575,0.975977
0.099455,1.066500,0.841967
0.157156,1.049661,2.365279
0.188099,0.927283,5.613439
0.454574,0.501520,4.637871
5.011322,2.216636,6.708765
4.539950,1.424429,8.233775
5.369203,1.470789,9.532442
4.307478,1.487917,2.286723
8.091130,1.749596,1.436300
7.926261,0.515521,5.492845
9.626536,0.576371,7.640138
9.260013,0.486972,5.233152
10.944310,0.078989,5.487988
9.517821,4.129411,6.523480
10.939606,0.565838,4.590862
12.443574,0.254775,1.604145
10.040134,0.689462,1.351673
6.907344,0.193245,1.763674
10.226949,1.805895,0.404644
7.660906,2.016452,1.293096
6.941748,0.507762,2.895514
7.953278,0.366420,0.905786
7.393487,1.523106,0.809245
8.588790,1.702491,2.318893
11.212453,0.474073,5.154607
7.258231,1.936955,2.638908
6.261526,1.258439,2.756759
6.634500,1.473398,2.756682
6.493930,0.728562,2.542236
6.997999,2.350196,1.027189
9.819335,0.776957,0.944990
9.151991,1.581294,1.065654
6.250304,0.130745,0.988540
