pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
44.250996,-11.539806,3.616950,32.852618,-12.028108,26.256434,NaN,NaN,NaN
44.228960,-11.067542,2.748927,33.481190,-11.311223,26.031309,NaN,NaN,NaN
44.433284,-10.616158,1.914783,34.203063,-10.612084,25.784108,NaN,NaN,NaN
44.844861,-10.242964,1.164000,35.008527,-10.096470,25.531781,NaN,NaN,NaN
45.394813,-10.015520,0.537725,35.885777,-9.888439,25.294944,NaN,NaN,NaN
45.983751,-9.973883,0.064851,36.795654,-10.009442,25.092036,NaN,NaN,NaN
46.512991,-10.114746,-0.238402,37.664405,-10.363763,24.936365,NaN,NaN,NaN
46.912442,-10.398062,-0.368845,38.401470,-10.798906,24.834402,NaN,NaN,NaN
47.155663,-10.762920,-0.337811,38.924439,-11.188719,24.786047,NaN,NaN,NaN
47.257761,-11.144235,-0.172917,39.181159,-11.484667,24.784747,NaN,NaN,NaN
47.259660,-11.485545,0.084474,39.161452,-11.680586,24.818409,NaN,NaN,NaN
47.208784,-11.747880,0.388516,38.896270,-11.747027,24.874476,NaN,NaN,NaN
47.146337,-11.912332,0.698846,38.450237,-11.634669,24.945254,NaN,NaN,NaN
47.103104,-11.979310,0.985276,37.909480,-11.349191,25.028625,NaN,NaN,NaN
47.097629,-11.968870,1.226577,37.364552,-10.995175,25.124763,NaN,NaN,NaN
47.133330,-11.913115,1.407807,36.892371,-10.688543,25.232494,NaN,NaN,NaN
47.200131,-11.840596,1.520978,36.540002,-10.455749,25.347976,NaN,NaN,NaN
47.282450,-11.770183,1.568420,36.316866,-10.257320,25.465666,NaN,NaN,NaN
47.364843,-11.717379,1.563533,36.202174,-10.068720,25.580893,NaN,NaN,NaN
47.431814,-11.699265,1.527013,36.158628,-9.907610,25.691261,NaN,NaN,NaN
47.468275,-11.728790,1.481279,36.144568,-9.813605,25.796126,NaN,NaN,NaN
47.463774,-11.808152,1.445991,36.127112,-9.824385,25.895149,NaN,NaN,NaN
47.416475,-11.930138,1.434827,36.091756,-9.966143,25.986646,NaN,NaN,NaN
47.332256,-12.081533,1.454255,36.039686,-10.242058,26.066987,NaN,NaN,NaN
47.220338,-12.242546,1.505110,35.974783,-10.606598,26.132575,NaN,NaN,NaN
47.090883,-12.387944,1.585564,35.895098,-10.962382,26.183519,NaN,NaN,NaN
46.955105,-12.495430,1.692719,35.794477,-11.209784,26.224719,NaN,NaN,NaN
46.823164,-12.555501,1.822283,35.664513,-11.316095,26.262349,NaN,NaN,NaN
46.698133,-12.573526,1.968315,35.489746,-11.323261,26.300065,NaN,NaN,NaN
46.572717,-12.564016,2.124492,35.249190,-11.291915,26.338454,NaN,NaN,NaN
46.433355,-12.546759,2.285241,34.928559,-11.261330,26.375850,NaN,NaN,NaN
46.267373,-12.544569,2.445802,34.530374,-11.247773,26.408823,NaN,NaN,NaN
46.068196,-12.575704,2.602300,34.071526,-11.250624,26.433705,NaN,NaN,NaN
45.838251,-12.643489,2.752288,33.574194,-11.261752,26.449510,NaN,NaN,NaN
45.589896,-12.735614,2.894519,33.061887,-11.283078,26.458907,NaN,NaN,NaN
