pt1_dltres,pt2_dltres,pt3_dltres
0.676134,0.317250,NaN
1.455530,0.139155,NaN
1.600502,0.409028,NaN
0.412139,1.060955,NaN
0.269779,0.822915,NaN
0.143386,0.518383,NaN
1.240223,0.231274,NaN
1.432841,0.404130,NaN
1.160933,0.494148,NaN
0.008358,0.274671,NaN
0.675479,1.312454,NaN
1.570277,1.939181,NaN
1.831136,1.604134,NaN
1.302566,1.519113,NaN
0.600794,1.581032,NaN
0.412202,0.846330,NaN
0.395042,0.697674,NaN
0.446705,0.786826,NaN
0.784763,1.090394,NaN
0.769074,1.062802,NaN
0.087779,1.044063,NaN
0.341946,1.091378,NaN
0.432619,0.510098,NaN
0.150760,0.508826,NaN
1.642625,0.409838,NaN
0.920097,0.463832,NaN
0.006518,1.234273,NaN
0.844531,1.225385,NaN
0.625273,1.551077,NaN
0.432836,2.225146,NaN
0.091368,1.707721,NaN
0.010714,0.225079,NaN
0.199250,0.890259,NaN
0.127540,0.920602,NaN
0.113764,0.854628,NaN
0.300015,3.415239,NaN
0.092194,3.241406,NaN
0.625338,2.981450,NaN
0.772859,2.644859,NaN
0.568752,2.371618,NaN
0.551689,2.678616,NaN
0.839937,1.594361,NaN
0.507610,1.271514,NaN
0.052948,0.171440,NaN
0.571941,0.362945,NaN
0.821687,0.509107,NaN
1.091993,0.888841,NaN
0.303481,0.931971,NaN
0.578087,0.432905,NaN
0.641698,0.097650,NaN
0.350858,0.673390,NaN
0.707807,1.196975,NaN
1.096779,0.497652,NaN
1.118830,0.071544,NaN
0.530987,0.354475,NaN
0.165020,0.260555,NaN
0.477285,0.039532,NaN
0.235308,0.935760,NaN
0.331700,0.461009,NaN
0.228988,0.184070,NaN
1.550400,1.197228,NaN
0.318711,0.713895,NaN
0.495276,0.087752,NaN
1.362643,0.838970,NaN
0.810983,1.354019,NaN
0.518495,1.559524,NaN
0.401481,0.596850,NaN
0.171732,0.834171,NaN
0.311333,0.772564,NaN
0.341618,0.706729,NaN
0.418809,1.020595,NaN
0.649762,1.079231,NaN
0.459631,1.162458,NaN
0.059395,0.762803,NaN
0.158461,0.099986,NaN
0.516530,0.241945,NaN
0.670030,0.268378,NaN
0.817230,0.244054,NaN
0.809666,0.638868,NaN
0.411112,1.279344,NaN
0.229577,1.441039,NaN
0.065790,1.807211,NaN
0.335318,1.601780,NaN
0.334462,1.196826,NaN
0.477703,0.697051,NaN
0.937697,0.242670,NaN
0.423937,0.688023,NaN
1.468064,1.236688,NaN
2.595440,0.777962,NaN
3.515493,0.206000,NaN
3.300953,0.222138,NaN
3.760122,0.172547,NaN
1.716958,0.104919,NaN
0.078730,0.148446,NaN
1.638567,0.101523,NaN
1.309138,0.260516,NaN
1.425276,0.339604,NaN
2.808291,0.804069,NaN
0.743390,1.750645,NaN
1.646050,1.480919,NaN
2.010288,1.141136,NaN
2.880913,1.129630,NaN
3.324000,1.755559,NaN
2.902475,0.652713,NaN
1.921060,0.314464,NaN
0.936682,0.825949,NaN
0.789694,0.015313,NaN
1.784406,1.607500,NaN
2.708781,1.753087,NaN
2.796263,2.151329,NaN
1.951685,0.060211,NaN
1.402387,0.139184,NaN
1.015781,0.091669,NaN
1.436983,1.378356,NaN
2.139511,2.046748,NaN
2.093289,2.308307,NaN
1.639229,2.398564,NaN
1.736265,2.737302,NaN
2.669256,1.915503,NaN
0.502159,2.502007,NaN
0.061475,2.956372,NaN
0.174780,2.563342,NaN
0.301401,2.349191,NaN
0.158065,2.075132,NaN
0.637614,1.193202,NaN
1.141063,0.319212,NaN
1.326148,0.245811,NaN
0.995452,0.791243,NaN
0.339436,0.234754,NaN
0.186624,0.146672,NaN
0.676102,0.345234,NaN
0.567889,0.478026,NaN
0.061587,0.118146,NaN
0.286228,0.410825,NaN
0.314334,0.453138,NaN
0.352259,0.661258,NaN
0.989880,0.067528,NaN
0.288682,0.518332,NaN
0.280907,0.216598,NaN
0.171781,0.100673,NaN
0.299627,0.382448,NaN
0.731265,0.704464,NaN
0.037523,1.110298,NaN
0.572083,0.895123,NaN
0.932086,0.176856,NaN
0.831619,1.141415,NaN
0.384286,0.846801,NaN
0.264892,0.874029,NaN
0.242665,0.406231,NaN
0.154147,0.467986,NaN
0.296645,0.606092,NaN
0.034509,0.840746,NaN
0.106965,0.756677,NaN
0.423482,0.176369,NaN
1.262059,0.187358,NaN
1.704065,0.330336,NaN
2.668066,0.477142,NaN
2.142693,0.534475,NaN
2.536560,0.028641,NaN
3.529108,0.409452,NaN
3.860816,0.780599,NaN
4.127497,0.371936,NaN
3.552937,0.120888,NaN
2.633020,0.393926,NaN
2.383856,0.036423,NaN
2.783221,0.389365,NaN
4.168007,1.157476,NaN
3.414684,0.410543,NaN
3.861994,0.087103,NaN
2.535735,0.452703,NaN
2.279456,0.144598,NaN
2.955812,0.311480,NaN
3.654817,0.545003,NaN
4.210241,0.813221,NaN
3.950780,0.227576,NaN
3.469233,0.169288,NaN
2.704458,0.491514,NaN
3.932333,1.261011,NaN
5.390867,1.465640,NaN
4.521930,1.424228,NaN
4.290835,0.822397,NaN
3.853707,0.880227,NaN
3.947205,1.107399,NaN
4.137610,0.949365,NaN
3.179158,0.983971,NaN
2.497446,0.772614,NaN
1.804658,1.111599,NaN
0.911463,0.880077,NaN
0.078093,0.629279,NaN
0.262995,1.567720,NaN
0.098939,1.227512,NaN
1.135676,0.716414,NaN
1.283061,0.309986,NaN
0.894620,0.303058,NaN
1.522612,0.286185,NaN
2.946485,1.744583,NaN
2.586254,1.835788,NaN
2.792889,0.565812,NaN
2.432469,0.131411,NaN
1.603463,0.149275,NaN
0.884908,1.340840,NaN
1.022795,1.633678,NaN
2.553399,0.206636,NaN
2.321994,0.841306,NaN
0.900048,0.278498,NaN
0.131926,2.084760,NaN
0.848771,2.721023,NaN
0.452403,2.622982,NaN
1.264022,2.013847,NaN
1.289424,1.029793,NaN
0.206033,1.575612,NaN
0.750068,2.592326,NaN
0.292154,2.483154,NaN
0.819475,0.953915,NaN
1.732343,0.268821,NaN
0.953939,1.518547,NaN
0.706811,2.114297,NaN
0.124271,0.440094,NaN
0.986542,0.803636,NaN
0.821201,0.282518,NaN
2.162156,0.732190,NaN
2.520691,6.828515,NaN
1.187775,8.246436,NaN
0.399652,5.543226,NaN
0.014801,2.747624,NaN
0.774683,1.599502,NaN
1.328134,1.360988,NaN
1.603069,2.901856,NaN
1.611749,2.396268,NaN
2.526726,0.809832,NaN
2.177283,2.126882,NaN
3.205726,4.611048,NaN
1.016222,8.357326,NaN
0.144776,4.912476,NaN
0.048950,4.025746,NaN
0.545622,6.406088,NaN
0.719815,7.277172,NaN
0.246638,3.099128,NaN
0.776523,6.300808,NaN
0.085092,1.257994,NaN
0.246584,0.920187,NaN
1.113966,1.127085,NaN
2.238754,1.497698,NaN
1.227040,1.602528,NaN
0.603968,0.832234,NaN
0.576649,3.428626,NaN
0.171071,4.806951,NaN
0.431400,4.003720,NaN
0.080770,2.232032,NaN
0.318674,0.850368,NaN
0.840804,0.851977,NaN
0.798652,0.739026,NaN
1.384664,2.043268,NaN
5.865738,4.526410,NaN
1.515258,2.434029,NaN
0.388178,2.240043,NaN
0.595140,2.838490,NaN
1.841472,4.493200,NaN
1.413236,4.437287,NaN
0.915847,4.287525,NaN
3.374943,3.976270,NaN
1.868559,2.165864,NaN
0.357722,2.610656,NaN
0.124999,2.894837,NaN
0.327523,2.554183,NaN
0.352190,3.319851,NaN
1.253026,2.546125,NaN
0.970601,1.988535,NaN
4.516898,0.023606,NaN
0.292343,1.727115,NaN
1.623098,0.581993,NaN
4.143795,2.020721,NaN
3.891644,3.208486,NaN
3.454118,2.503209,NaN
2.634451,5.482102,NaN
2.459519,1.020604,NaN
0.003162,2.563304,NaN
0.690188,1.156317,NaN
0.432836,0.080761,NaN
1.467326,0.196574,NaN
1.907082,1.424030,NaN
3.045165,2.155514,NaN
3.936445,2.976509,NaN
4.201805,2.698254,NaN
4.243427,2.292908,NaN
5.269600,0.486894,NaN
5.654686,2.629573,NaN
5.410930,2.717618,NaN
3.175296,2.169814,NaN
2.008163,2.162443,NaN
2.142017,1.861400,NaN
1.777186,1.499829,NaN
0.699970,0.321187,NaN
1.241625,1.240836,NaN
2.262707,0.790868,NaN
2.615665,2.018933,NaN
2.385090,1.604298,NaN
1.709805,1.235377,NaN
1.500396,0.840794,NaN
1.040794,0.476054,NaN
1.388098,0.741878,NaN
1.533096,0.808357,NaN
0.524597,1.029776,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
