pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.701547,0.723245,0.935652,0.930762,0.930054,1.384150
0.667879,0.702779,0.977475,0.880337,0.920466,1.295319
0.610645,0.721035,1.061016,0.903816,0.882493,1.300629
0.657522,0.699003,1.073913,0.890871,0.932378,1.343762
0.623061,0.708362,1.016177,0.837696,1.015299,1.458464
0.717355,0.725168,1.052891,0.852597,0.920212,1.326569
0.701127,0.727907,1.039086,0.811721,0.872796,1.245538
0.669540,0.721773,1.040858,0.928037,0.928615,1.356383
0.644968,0.698217,1.018026,0.895989,0.880631,1.305540
0.615429,0.659315,0.938193,0.947380,0.920496,1.282548
0.665500,0.663040,0.981607,0.871734,1.002150,1.407341
0.654483,0.745799,1.067312,0.931239,0.990257,1.454067
0.645262,0.722829,1.050912,0.915488,0.975193,1.398317
0.649503,0.662459,0.977401,0.850284,1.062508,1.451447
0.609960,0.704914,0.916093,0.896292,0.962422,1.315916
0.674893,0.719852,1.010160,0.855208,1.051005,1.498517
0.635699,0.742555,1.055913,0.908789,0.965815,1.316964
0.696411,0.708226,1.056694,0.848930,0.970241,1.332287
0.642527,0.720843,0.942969,0.856201,0.958751,1.374053
0.631838,0.727914,0.998051,0.873813,0.963092,1.322969
0.720082,0.715118,0.934202,0.817395,0.942429,1.378133
0.656446,0.698701,1.034663,0.843739,0.944895,1.283235
0.605083,0.718181,1.041550,0.918802,0.980905,1.344744
0.663971,0.700222,1.063427,0.923647,0.867997,1.282301
0.675803,0.722007,1.037721,0.833000,0.912113,1.374479
0.686657,0.744062,1.051471,0.955086,0.922086,1.282966
0.659761,0.752307,0.975759,0.904157,0.967302,1.330160
0.623776,0.723321,1.031836,0.857781,1.015195,1.305001
0.640372,0.713927,1.024330,0.902738,0.990664,1.275123
0.642948,0.734178,0.934121,0.845302,0.936842,1.283863
0.675309,0.698521,1.018632,0.876388,0.954667,1.238639
0.690128,0.760576,1.040721,0.935517,1.060236,1.408312
0.650572,0.707924,0.997628,0.938057,0.956790,1.438428
0.726985,0.693186,1.048975,0.854877,0.980260,1.427732
0.626027,0.669019,1.036322,0.893183,1.012611,1.430969
0.674665,0.698609,1.055239,0.866022,0.958548,1.432178
0.649274,0.714886,1.105757,0.950190,0.928677,1.358152
0.714393,0.742967,1.068848,0.845517,0.977959,1.450533
0.616852,0.689330,1.006382,0.843285,1.014325,1.451497
0.607606,0.693462,0.973467,0.915558,0.967010,1.387332
0.625610,0.734898,0.906806,0.857155,0.866614,1.316284
0.659554,0.691222,0.959668,0.882582,0.971853,1.308782
0.700472,0.758702,1.048549,0.837428,0.974548,1.391497
0.636348,0.720861,1.056766,0.903582,0.924413,1.352436
0.662139,0.725623,1.007826,0.879462,1.017107,1.375351
0.635128,0.736051,1.019131,0.889046,0.952496,1.446036
0.603131,0.714002,1.036085,0.893215,0.982485,1.441930
0.644048,0.732865,1.048633,0.950916,0.908777,1.407013
0.675267,0.750536,1.027808,0.918789,0.942580,1.336845
