pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
-10.716224,-10.582847,30.254786,-21.391697,-10.234457,13.781431,NaN,NaN,NaN
-12.162530,-11.381154,30.605031,-22.594034,-11.259090,13.598728,NaN,NaN,NaN
-13.863757,-12.799269,31.322517,-22.643855,-12.150062,13.158670,NaN,NaN,NaN
-13.830842,-12.962035,31.590447,-24.000838,-15.052904,14.784983,NaN,NaN,NaN
-14.688718,-14.536962,30.943954,-22.729807,-16.998259,13.019879,NaN,NaN,NaN
-14.345588,-16.275246,30.667841,-23.174538,-17.126753,13.845606,NaN,NaN,NaN
-13.461079,-19.414602,31.287030,-24.195564,-17.539844,15.173445,NaN,NaN,NaN
-12.940611,-22.620246,30.627478,-24.288606,-17.994075,15.495119,NaN,NaN,NaN
-13.539635,-25.170200,30.401584,-24.801602,-19.239258,15.579653,NaN,NaN,NaN
-15.687899,-25.089670,32.168954,-25.290726,-20.082672,16.051935,NaN,NaN,NaN
-17.016467,-24.537745,32.262721,-25.956574,-20.904366,16.634874,NaN,NaN,NaN
-17.131051,-25.060766,32.511495,-26.314494,-21.549839,17.003006,NaN,NaN,NaN
-17.327517,-25.577021,32.528428,-26.390920,-22.214819,17.018398,NaN,NaN,NaN
-17.077439,-25.740487,32.534405,-26.735703,-22.736020,17.487945,NaN,NaN,NaN
-16.768553,-26.110095,32.132378,-26.751660,-22.469320,17.485708,NaN,NaN,NaN
-16.408408,-26.389918,31.963316,-27.815206,-19.972461,16.236536,NaN,NaN,NaN
-18.403808,-23.518299,34.671011,-27.983039,-18.966163,15.512681,NaN,NaN,NaN
-17.431926,-22.244654,36.872690,-28.180972,-17.578322,14.966022,NaN,NaN,NaN
-16.898066,-22.659389,38.615340,-27.237747,-18.385636,18.650538,NaN,NaN,NaN
-17.297995,-23.042410,38.245700,-27.059777,-18.245730,19.069401,NaN,NaN,NaN
-16.867933,-22.948730,39.773795,-26.647152,-18.204333,20.017224,NaN,NaN,NaN
-16.332518,-22.795459,40.567965,-26.321827,-18.047826,20.787206,NaN,NaN,NaN
-16.025079,-22.667324,41.235277,-26.204491,-17.982411,21.486880,NaN,NaN,NaN
-16.382842,-22.417304,41.829571,-26.371998,-17.606250,21.934688,NaN,NaN,NaN
-16.668183,-21.756171,41.798707,-26.682286,-17.301081,21.938869,NaN,NaN,NaN
-16.803764,-21.178082,41.522265,-26.829233,-16.731119,21.761197,NaN,NaN,NaN
-16.202365,-20.739068,40.184220,-26.825065,-16.179898,21.151771,NaN,NaN,NaN
-16.462940,-20.284760,40.219327,-26.713173,-15.446717,20.747606,NaN,NaN,NaN
-17.597528,-19.914098,40.076357,-27.083928,-15.226608,20.781168,NaN,NaN,NaN
-18.133235,-19.821278,39.342353,-27.410311,-14.899607,20.998396,NaN,NaN,NaN
-17.256650,-22.284541,38.107054,-26.999665,-14.407289,21.613898,NaN,NaN,NaN
-17.671017,-20.950712,38.161450,-27.124330,-14.282778,21.017520,NaN,NaN,NaN
-17.628602,-20.627257,37.837922,-27.315167,-14.677668,20.192764,NaN,NaN,NaN
-17.316981,-20.428024,37.422948,-27.347957,-14.886550,19.650146,NaN,NaN,NaN
