pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.797673,0.821734,1.197477,0.887080,0.955944,1.567557,NaN,NaN,NaN
0.773074,0.834046,1.260531,0.942318,1.002890,1.403734,NaN,NaN,NaN
0.859735,0.805924,1.069624,0.967088,1.013289,1.444793,NaN,NaN,NaN
0.794141,0.854754,1.263946,0.924266,0.968830,1.421903,NaN,NaN,NaN
0.791883,0.938239,1.258920,0.923325,0.932416,1.390530,NaN,NaN,NaN
0.777782,0.891583,1.180880,0.965784,0.974955,1.492489,NaN,NaN,NaN
0.790306,0.837213,1.239872,0.913143,1.022796,1.546854,NaN,NaN,NaN
0.803293,0.813238,1.150366,0.921197,1.051268,1.345479,NaN,NaN,NaN
0.862357,0.797317,1.222321,0.891258,0.960559,1.312137,NaN,NaN,NaN
0.759664,0.867196,1.180747,0.922801,0.984722,1.395469,NaN,NaN,NaN
0.783611,0.854452,1.277504,0.871095,1.023282,1.498489,NaN,NaN,NaN
0.757072,0.827863,1.246834,0.908874,1.011420,1.465854,NaN,NaN,NaN
0.787467,0.852542,1.185093,0.913355,1.044757,1.572111,NaN,NaN,NaN
0.773982,0.897371,1.236907,0.936236,1.019334,1.612855,NaN,NaN,NaN
0.804465,0.846211,1.273202,0.915717,1.067523,1.401693,NaN,NaN,NaN
0.810635,0.849469,1.139320,0.956033,0.984945,1.512841,NaN,NaN,NaN
0.851629,0.810055,1.257446,0.972655,0.975247,1.438084,NaN,NaN,NaN
0.755946,0.872401,1.244292,0.972900,1.065043,1.538992,NaN,NaN,NaN
0.778813,0.860214,1.338128,0.992205,1.028135,1.422292,NaN,NaN,NaN
0.763600,0.847693,1.189167,1.034868,0.980532,1.380682,NaN,NaN,NaN
0.828599,0.812215,1.230876,1.004516,1.135211,1.447792,NaN,NaN,NaN
0.717664,0.797810,1.198282,0.847866,0.972473,1.325439,NaN,NaN,NaN
0.788474,0.900660,1.276179,0.910254,0.926539,1.379957,NaN,NaN,NaN
0.700265,0.818626,1.206617,0.914285,1.002865,1.332134,NaN,NaN,NaN
0.767240,0.843766,1.245006,0.929016,1.000013,1.419781,NaN,NaN,NaN
0.781190,0.835967,1.122856,0.981760,0.932279,1.490798,NaN,NaN,NaN
0.778143,0.848441,1.244719,0.877363,1.018573,1.529487,NaN,NaN,NaN
0.807558,0.816319,1.230393,0.877228,0.973643,1.393129,NaN,NaN,NaN
0.751397,0.866267,1.192161,0.898431,1.007905,1.373240,NaN,NaN,NaN
0.804834,0.805432,1.181087,0.988121,0.900890,1.367831,NaN,NaN,NaN
0.808231,0.872710,1.089757,0.897022,1.013709,1.433358,NaN,NaN,NaN
0.773855,0.923731,1.222777,0.955125,0.973590,1.420431,NaN,NaN,NaN
0.795524,0.918673,1.245560,0.941936,1.032800,1.431840,NaN,NaN,NaN
0.785114,0.808144,1.252624,0.906544,0.987169,1.357639,NaN,NaN,NaN
0.770105,0.929794,1.218361,0.915790,0.911030,1.468516,NaN,NaN,NaN
0.763697,0.855153,1.205203,0.941524,1.031098,1.415788,NaN,NaN,NaN
0.855186,0.817129,1.138134,0.958895,1.068698,1.527057,NaN,NaN,NaN
0.796635,0.825001,1.168109,0.979220,1.093919,1.451796,NaN,NaN,NaN
0.873436,0.834051,1.171132,0.926315,0.974587,1.357559,NaN,NaN,NaN
0.830055,0.850903,1.242926,0.867982,0.932095,1.420183,NaN,NaN,NaN
0.777789,0.851044,1.195277,0.947994,0.998424,1.438410,NaN,NaN,NaN
0.773979,0.903550,1.184238,0.890511,0.983500,1.489643,NaN,NaN,NaN
0.747488,0.802676,1.210365,0.867891,0.995018,1.435816,NaN,NaN,NaN
0.761513,0.899202,1.174438,0.923479,1.006531,1.482944,NaN,NaN,NaN
0.749035,0.924651,1.270729,0.990508,1.038625,1.390618,NaN,NaN,NaN
0.789241,0.895914,1.252026,0.973018,1.037038,1.437075,NaN,NaN,NaN
0.824416,0.844018,1.219049,0.888956,0.946176,1.410826,NaN,NaN,NaN
0.752844,0.901057,1.168521,0.877675,1.019514,1.323273,NaN,NaN,NaN
