pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
34.580855,-18.251662,28.965446,14.928027,-21.932890,36.667622,NaN,NaN,NaN
34.494288,-18.266114,29.279916,14.369418,-21.701145,36.369169,NaN,NaN,NaN
34.420705,-18.254262,29.662766,13.698399,-21.572899,35.992208,NaN,NaN,NaN
34.360013,-18.220351,30.124886,12.920001,-21.550095,35.543026,NaN,NaN,NaN
34.304264,-18.226303,30.682609,12.047562,-21.635477,35.039388,NaN,NaN,NaN
34.226019,-18.408346,31.340570,11.105332,-21.826967,34.516132,NaN,NaN,NaN
34.068329,-18.910129,32.067995,10.127020,-22.106664,34.025817,NaN,NaN,NaN
33.746292,-19.733638,32.792552,9.148709,-22.432584,33.629692,NaN,NaN,NaN
33.192029,-20.686019,33.405462,8.200708,-22.745814,33.379352,NaN,NaN,NaN
32.427987,-21.545840,33.776282,7.305425,-22.986167,33.302272,NaN,NaN,NaN
31.580139,-22.174479,33.830712,6.479564,-23.114338,33.392470,NaN,NaN,NaN
30.803885,-22.504598,33.632515,5.736336,-23.128279,33.609662,NaN,NaN,NaN
30.193071,-22.582033,33.342724,5.085044,-23.066070,33.888872,NaN,NaN,NaN
29.759905,-22.580558,33.118421,4.527870,-22.988590,34.158010,NaN,NaN,NaN
29.468465,-22.693655,33.069023,4.057482,-22.952148,34.354276,NaN,NaN,NaN
29.266279,-22.994722,33.255753,3.657188,-22.987715,34.431637,NaN,NaN,NaN
29.086356,-23.369352,33.688493,3.302341,-23.095565,34.360158,NaN,NaN,NaN
28.847472,-23.612576,34.334868,2.963274,-23.251731,34.122828,NaN,NaN,NaN
28.469032,-23.636783,35.126597,2.610076,-23.419686,33.715214,NaN,NaN,NaN
27.891007,-23.581973,35.950687,2.218584,-23.562835,33.149971,NaN,NaN,NaN
27.080011,-23.736941,36.655371,1.776767,-23.653543,32.462800,NaN,NaN,NaN
26.033380,-24.223499,37.099466,1.289284,-23.679319,31.714170,NaN,NaN,NaN
24.814179,-24.851388,37.202527,0.777761,-23.646821,30.984735,NaN,NaN,NaN
23.575961,-25.275354,36.986446,0.277210,-23.582097,30.363825,NaN,NaN,NaN
22.498223,-25.272069,36.562687,-0.171177,-23.524377,29.931032,NaN,NaN,NaN
21.676883,-24.890137,36.059703,-0.529789,-23.510751,29.737549,NaN,NaN,NaN
21.102619,-24.382203,35.579005,-0.772265,-23.556410,29.795248,NaN,NaN,NaN
20.720251,-24.028290,35.162018,-0.887928,-23.640498,30.074465,NaN,NaN,NaN
20.480965,-23.943274,34.796702,-0.882867,-23.708273,30.510415,NaN,NaN,NaN
20.373919,-24.038479,34.457829,-0.776507,-23.690250,31.017358,NaN,NaN,NaN
20.420729,-24.114442,34.136135,-0.598214,-23.527952,31.500457,NaN,NaN,NaN
20.636834,-23.972098,33.844914,-0.386067,-23.191211,31.869299,NaN,NaN,NaN
21.015176,-23.450825,33.628914,-0.183360,-22.684184,32.052833,NaN,NaN,NaN
21.523399,-22.476952,33.560105,-0.033340,-22.044513,32.009759,NaN,NaN,NaN
22.066536,-21.133316,33.712825,0.025252,-21.340032,31.732608,NaN,NaN,NaN
22.449640,-19.703406,34.124269,-0.037588,-20.660258,31.246414,NaN,NaN,NaN
22.445450,-18.651244,34.751195,-0.238616,-20.100433,30.601882,NaN,NaN,NaN
21.935179,-18.279823,35.494597,-0.580281,-19.736975,29.866039,NaN,NaN,NaN
20.970688,-18.498567,36.243693,-1.052638,-19.609348,29.112021,NaN,NaN,NaN
19.743442,-19.103475,36.888223,-1.634181,-19.723336,28.407203,NaN,NaN,NaN
18.510972,-19.998952,37.324550,-2.292619,-20.058699,27.804299,NaN,NaN,NaN
17.490975,-21.126991,37.519635,-2.986232,-20.573460,27.337519,NaN,NaN,NaN
16.775751,-22.484637,37.527483,-3.667161,-21.207929,27.022391,NaN,NaN,NaN
16.325279,-24.072444,37.454945,-4.287991,-21.889710,26.858480,NaN,NaN,NaN
16.048708,-25.821203,37.402777,-4.808138,-22.543307,26.835410,NaN,NaN,NaN
15.881337,-27.365587,37.426219,-5.197321,-23.103973,26.939811,NaN,NaN,NaN
15.837868,-28.068860,37.509086,-5.436136,-23.528865,27.159296,NaN,NaN,NaN
16.031600,-27.517123,37.563195,-5.515215,-23.800987,27.482045,NaN,NaN,NaN
16.587519,-25.799588,37.489971,-5.434990,-23.929115,27.893022,NaN,NaN,NaN
17.519615,-23.422087,37.260340,-5.206283,-23.944906,28.370784,NaN,NaN,NaN
18.707269,-21.068299,36.918089,-4.850585,-23.894603,28.888726,NaN,NaN,NaN
19.975570,-19.329253,36.468444,-4.399202,-23.824376,29.419771,NaN,NaN,NaN
