cam1_X,cam1_Y,cam2_X,cam2_Y
528.917746,510.002589,446.361795,407.743285
550.247828,513.644311,467.998014,408.284190
608.515369,523.008737,533.988483,412.611434
628.284713,526.130212,556.165608,413.152339
526.836763,490.233245,451.770850,388.270687
546.085861,493.874966,472.866164,388.270687
604.873647,502.719147,539.397538,392.057026
624.642991,505.840622,560.492852,393.679742
506.547173,483.470048,467.457109,377.452578
634.007418,471.504393,558.329230,357.439075
503.425697,467.342426,473.947974,363.389035
523.195041,469.423409,495.043288,365.011752
542.964386,472.024639,517.220413,366.634468
629.845450,452.255295,563.738284,337.425572
526.836763,416.878574,462.048054,312.003014
547.126353,421.040541,483.684273,314.166636
565.855205,425.202508,504.779587,315.248447
573.138648,444.451606,535.611199,331.475612
625.683483,433.006196,571.310961,317.412069
523.195041,398.669967,467.457109,292.530417
544.004877,400.750951,488.552423,293.612228
561.693238,403.352180,509.647736,293.612228
620.481024,414.797590,576.179111,297.939472
