pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
61.365168,-11.265105,-14.066926,49.044175,-10.894701,11.180114
61.579959,-11.280378,-14.958412,49.394458,-10.931269,11.066499
60.940903,-11.692450,-17.869521,49.637577,-11.054526,10.970336
61.444782,-10.812243,-16.892949,49.766297,-11.059448,10.997126
62.081251,-11.617068,-17.620043,49.640002,-11.255371,10.689536
61.680912,-12.503612,-18.258306,49.624581,-11.336970,10.470106
61.478173,-13.052651,-17.995214,49.865174,-12.093922,10.669725
61.733661,-12.935793,-17.733255,49.857660,-12.152573,10.601957
61.936226,-12.703760,-17.609035,50.105705,-12.203603,10.579279
62.146970,-12.874007,-17.874051,50.178717,-11.956912,10.342770
62.396446,-12.839842,-17.755368,50.429919,-12.068030,10.218762
62.823676,-13.212403,-18.285058,51.750502,-14.568629,9.056850
63.077392,-13.122799,-18.704208,52.049557,-14.822703,8.746917
63.319522,-13.132623,-18.784707,52.555165,-14.692788,8.099233
63.477493,-13.370730,-19.155655,52.609532,-14.673720,8.064706
63.389331,-13.375832,-19.176954,52.749019,-14.717324,8.002814
63.501629,-13.486763,-19.337209,52.741482,-14.828925,7.865819
63.290435,-13.345772,-19.130444,52.826987,-14.799648,7.904729
63.337162,-13.369047,-19.143910,52.934048,-14.795930,7.956401
63.231517,-13.265079,-18.893242,53.171153,-14.510372,7.770644
63.191462,-13.229991,-18.843612,53.165930,-14.289709,7.438294
63.114629,-12.804093,-18.842393,53.138818,-14.298753,7.426457
62.886926,-12.684264,-19.045857,53.115720,-14.302359,7.444446
62.826491,-12.741670,-19.448688,53.157312,-13.932296,7.335949
62.677686,-12.613331,-19.263631,52.994461,-13.807347,7.480910
62.671969,-12.608330,-19.256540,52.836513,-13.676216,7.671178
62.563394,-12.513356,-19.121860,52.887039,-13.045714,7.293995
62.380934,-11.990848,-18.989049,52.788038,-12.793352,7.041232
62.341721,-11.938343,-18.945042,52.640061,-12.145469,6.746317
61.997774,-12.244583,-19.856252,52.525910,-11.848244,6.370035
61.724704,-12.528843,-20.371295,52.324165,-11.955497,6.342581
61.450373,-12.288909,-20.030214,52.096165,-11.577852,6.208448
61.276214,-12.140245,-19.812739,52.109288,-11.469037,6.398820
60.273349,-10.863635,-20.133715,52.133660,-11.406505,6.501217
60.126305,-11.241421,-19.832387,52.180604,-11.291076,6.693363
60.323515,-10.654047,-18.790770,51.409108,-12.207324,5.076470
60.696548,-10.558641,-18.865934,51.133162,-12.012621,5.283102
61.094752,-10.050054,-17.594806,50.820730,-12.889826,5.953772
59.852367,-10.131286,-17.709018,50.757120,-13.673136,6.074537
59.246909,-9.450391,-17.011124,50.741146,-14.414347,6.196161
59.190900,-9.654676,-18.341693,51.621266,-13.107048,8.484154
58.307227,-9.964187,-18.435652,49.081629,-13.559216,8.479464
58.708295,-10.650873,-19.345321,46.988657,-13.730689,7.909352
60.421260,-11.344483,-20.253350,47.579888,-10.211542,5.764514
62.020056,-13.662955,-22.357940,47.531944,-7.520764,5.025637
64.097548,-14.062346,-22.007426,46.669345,-7.599413,2.884428
64.967552,-14.796947,-18.484538,46.393464,-6.576998,2.889221
65.672031,-14.826296,-14.613140,46.260745,-6.747760,2.596860
64.891566,-15.157237,-19.266194,46.041709,-7.476860,2.299568
64.898537,-15.150487,-19.234550,45.969676,-7.562703,2.127805
64.741099,-14.772410,-19.274741,46.163961,-7.315502,2.562129
64.102200,-14.172624,-18.416858,45.720349,-7.041987,3.109563
64.194919,-13.860801,-18.654333,45.698930,-7.070768,3.064959
63.268611,-13.317037,-18.113485,45.702650,-7.064007,3.069496
62.966696,-12.523083,-18.590907,47.154879,-7.721232,4.671645
62.547853,-11.973519,-18.712352,47.924543,-6.924122,6.727596
61.172240,-10.455807,-18.768121,47.717990,-8.368920,7.962619
59.400942,-8.453869,-17.441569,48.536795,-10.958969,9.494667
59.193241,-7.983384,-17.471440,49.531348,-10.648251,11.352641
59.273928,-7.867227,-17.262187,49.410604,-10.591491,10.543359
60.785523,-8.729397,-18.213714,49.326066,-10.396781,10.869965
59.696961,-8.123443,-16.006466,48.876901,-10.348469,10.868193
59.758989,-7.885942,-15.894541,49.105218,-10.315019,10.957933
60.972511,-8.794023,-17.157810,48.860594,-10.046116,11.326677
60.881557,-9.245649,-16.889501,48.628319,-10.135138,11.762495
60.802798,-9.418495,-15.809603,48.328645,-10.260791,12.091212
60.831239,-10.167212,-15.012189,47.783113,-10.007710,12.413768
60.911445,-10.199177,-14.743448,46.512626,-11.113338,9.628537
61.544961,-8.802953,-13.634547,45.516618,-8.641214,9.883631
62.055999,-8.301039,-12.384742,44.827757,-6.386161,10.322458
62.976319,-7.686300,-11.472558,44.403564,-4.703948,11.153523
63.382853,-5.988277,-11.612855,44.269696,-3.895439,11.357338
62.854227,-3.140411,-9.722699,44.277610,1.300707,10.205820
63.264521,2.250362,-11.098531,45.620947,6.077586,11.109343
64.195792,9.393331,-8.888140,46.566758,10.924968,11.832365
65.190949,13.438967,-8.708427,46.870534,16.396035,12.443934
66.163083,15.728679,-8.343799,48.066422,18.593935,14.225356
67.671792,18.056311,-8.223239,48.120974,21.386174,14.298788
68.491830,21.024857,-8.533035,48.069130,23.719483,14.596652
66.650211,24.768604,-6.842763,49.711139,25.180770,17.344652
68.414892,24.006434,-8.680158,51.110516,21.186650,16.527956
68.314406,23.599957,-7.872666,52.634212,18.063698,17.159855
74.897739,12.732310,-4.054369,57.751107,11.079170,14.245470
77.262286,5.344482,-2.260183,58.958402,4.928990,15.775067
78.963255,-0.795394,0.144722,61.138160,-1.680051,14.660337
79.653739,-5.363702,4.875946,62.603706,-9.144295,13.952504
80.772047,-14.980749,8.369042,64.728894,-17.724570,18.323810
81.774180,-19.996802,10.280536,63.937572,-25.384942,25.257925
84.987722,-31.030571,11.408834,65.338865,-39.083713,25.212928
83.513654,-42.004938,14.353494,64.742602,-45.392981,33.986035
85.763218,-48.387714,10.397666,67.825878,-46.469856,30.062204
87.039425,-44.992560,10.976483,65.578183,-40.200113,35.062548
88.144149,-44.791630,10.519462,66.807795,-37.136254,35.100960
83.902022,-34.933719,8.994388,65.429683,-34.153262,24.848152
83.076261,-32.013030,8.717275,65.846850,-32.036758,25.846805
82.322063,-31.202303,9.270747,65.624629,-31.985272,26.142016
83.712078,-32.247190,7.014847,65.763921,-31.587682,26.172495
83.817390,-32.896816,6.717175,66.097536,-31.433982,26.021059
83.448818,-32.444842,8.016983,66.487616,-34.947321,25.819861
83.066511,-32.027943,9.380124,66.685219,-34.381129,25.880040
NaN,NaN,NaN,66.806290,-34.180614,26.200052
78.068472,-29.994045,16.053184,61.350583,-30.712621,34.019325
75.309695,-27.662248,19.583934,59.214114,-36.422352,32.196260
74.333469,-26.852919,21.297858,58.013749,-37.034524,34.023246
70.374091,-25.690473,23.550588,57.967961,-37.077830,33.873339
69.198305,-27.396296,23.592148,58.723070,-38.237706,32.588496
69.935685,-26.129258,23.474234,59.089615,-38.677251,32.354426
71.501254,-24.068139,26.298194,60.217643,-41.536937,31.793081
71.225601,-23.842427,26.943786,60.537322,-41.640862,32.180749
72.221238,-23.567430,28.316577,61.810084,-39.042463,32.690443
76.476829,-28.864592,21.243348,60.283919,-39.969574,27.151640
76.627807,-28.173625,20.634123,61.978311,-37.484232,31.465979
76.097189,-27.502756,20.858568,61.873673,-37.326927,31.558289
76.524664,-27.972325,20.263231,62.166197,-36.247311,31.992093
76.437959,-28.065226,20.092973,61.966048,-36.420516,31.686424
76.365691,-27.898684,19.771212,61.940004,-35.967089,31.142506
77.252022,-28.261828,18.181911,62.382177,-35.203980,29.793510
78.714658,-29.433956,15.815430,62.434174,-35.520574,29.381206
79.342497,-29.725342,14.176953,62.710136,-35.224938,28.691522
79.421150,-29.389351,13.405088,63.066822,-34.834241,28.088779
79.428873,-29.519206,13.160810,64.356490,-34.771090,25.997409
79.636344,-29.593313,12.637002,64.048389,-34.979266,26.195585
80.074791,-30.218568,12.275510,64.183115,-35.164039,25.836250
80.141641,-30.517827,12.619316,64.739870,-36.437132,25.421091
81.369950,-31.850938,11.306829,65.152268,-36.420494,24.836671
81.823388,-32.517200,11.100414,65.459479,-37.399475,24.686378
82.206171,-32.991943,11.079920,65.613932,-38.168321,24.767537
82.024062,-33.421168,13.063740,64.302510,-37.463725,26.544600
81.610163,-33.047883,14.820337,64.979244,-37.222741,29.728811
80.690991,-32.590794,16.551160,64.252852,-38.402888,30.524598
78.654530,-33.076609,15.888215,62.766266,-39.422242,31.505128
77.858647,-31.373716,17.962615,60.761152,-39.157158,33.550022
77.841894,-31.602952,17.708842,60.577292,-39.721831,33.276398
78.484392,-32.904367,18.035153,60.150439,-37.402378,37.364714
78.337765,-33.042831,19.253106,59.938110,-38.175603,37.415732
78.415850,-32.875001,20.083623,59.834129,-38.855384,37.882189
78.299148,-32.854747,20.013166,60.031407,-38.198034,37.800643
78.821596,-33.441085,19.235986,60.602111,-37.918437,37.480000
79.873053,-34.890717,17.334655,61.253723,-37.998121,36.871708
80.261737,-35.369891,16.708032,62.005415,-38.234466,36.118304
80.350788,-35.329666,16.780795,62.654489,-38.193274,35.683417
80.049660,-35.098521,17.054819,63.212860,-38.026136,35.461154
80.386929,-35.462385,16.591666,63.476190,-38.465482,35.882235
80.152451,-35.252440,16.853694,63.327577,-38.772947,35.625002
79.731477,-34.588187,17.176561,62.996778,-39.131138,35.050309
79.471427,-33.816863,17.031955,62.965295,-38.980900,34.664607
79.658236,-33.966939,16.772044,62.792900,-38.986493,34.596117
79.718027,-34.247504,17.612072,63.252470,-39.840061,34.056452
78.962318,-33.491651,19.155733,63.558365,-40.132850,33.880044
77.611487,-32.421945,20.492203,63.564035,-41.348884,32.706689
76.281944,-31.393090,21.697993,60.349529,-39.233009,35.555064
76.139751,-31.288643,21.243328,59.978392,-39.678700,35.748975
76.787676,-31.712328,20.053403,59.994411,-39.781433,35.831653
76.977714,-31.870328,19.843329,60.032437,-39.948694,35.615834
76.689166,-32.914372,20.170172,60.149344,-40.082796,35.467407
76.832275,-33.818015,19.880608,61.013580,-39.751792,35.004125
77.742591,-33.010178,18.695384,61.194980,-39.181756,37.922085
78.209611,-32.057729,20.112193,61.931529,-39.900791,37.133144
78.707737,-32.563970,19.569315,62.487835,-39.869721,37.095206
78.684121,-32.548905,19.611019,62.665893,-39.548298,36.358262
78.181683,-32.291453,20.144478,62.156476,-39.289111,37.424914
79.371142,-33.057123,18.061172,63.070862,-39.321972,36.530235
80.137441,-33.855891,16.990232,64.957558,-40.113929,34.585307
80.761363,-35.420180,16.647925,65.523727,-39.355046,34.887360
80.851763,-36.269526,16.730836,65.543426,-39.529076,35.271728
80.870215,-36.987890,16.953252,65.533702,-39.966472,35.692428
80.631189,-37.261103,17.722146,64.345967,-38.804650,36.445808
79.619839,-35.863043,19.004759,62.936660,-38.483107,37.027719
78.915297,-34.557316,19.532093,62.093344,-38.893648,36.944168
78.764806,-33.741578,19.438809,61.390950,-38.787828,36.952730
78.412127,-32.750788,19.537448,63.097125,-41.218895,33.932427
77.933874,-32.286784,20.088880,60.251567,-38.663445,36.879745
77.483868,-31.475941,20.628159,59.837455,-38.435884,36.595911
76.280474,-30.025726,21.316502,60.808247,-39.054748,37.473995
74.857108,-28.047241,21.205941,60.326360,-38.999438,39.162202
74.638033,-29.860083,20.648107,59.806328,-38.843395,40.319089
74.735127,-29.475745,20.420466,57.658952,-37.534414,42.498248
74.382079,-29.113533,20.737854,56.254180,-35.863198,42.906732
74.320942,-29.741169,21.027341,56.301945,-35.575916,42.699596
74.012155,-30.079576,21.715412,55.066522,-36.115033,40.468627
73.054045,-30.199051,22.603070,51.841055,-34.033632,39.358082
72.957407,-32.454110,22.968834,51.065092,-35.343985,37.952127
71.741569,-32.176012,24.008098,49.979589,-34.327663,38.131637
71.297273,-31.754879,23.900840,49.701915,-34.474782,37.201702
70.854149,-31.297739,23.819253,48.559934,-32.805082,37.483362
69.984973,-29.252620,23.528499,48.332863,-32.392149,37.205379
70.086863,-28.614779,22.106541,47.669416,-31.642189,34.737199
69.480703,-27.598299,21.544797,46.938108,-29.484133,33.007322
67.941506,-26.387900,21.751039,47.664204,-30.420603,33.740882
67.662676,-25.676543,22.847828,47.942963,-31.088885,33.478000
66.480952,-25.205831,24.481333,47.506992,-32.068127,33.851384
65.775898,-25.396631,25.318097,47.125434,-32.501024,33.986068
64.973679,-25.205336,26.107795,46.813908,-33.502934,34.797657
64.344951,-24.145951,25.020015,46.792150,-33.308962,34.466840
63.925120,-24.401644,23.209665,45.115599,-32.485607,32.841883
63.947551,-24.315720,21.329843,44.121060,-28.553363,35.115642
63.766612,-24.077791,20.908487,44.095180,-28.099115,34.591477
63.414891,-24.172381,20.710739,44.044005,-27.957988,34.088177
64.054628,-24.883483,19.809016,45.203047,-29.373913,32.771080
64.779167,-25.554026,18.952881,45.967251,-30.062749,32.025917
65.086202,-24.711697,17.664622,45.816543,-29.529669,32.036180
63.980369,-23.379210,17.817491,45.771009,-29.572667,32.026395
63.786888,-23.480121,16.921313,45.476071,-29.026133,31.569041
63.336546,-23.139271,16.038731,45.308662,-28.533068,31.041966
62.946476,-22.802398,15.144023,44.943899,-28.228906,30.187606
63.899302,-23.527567,12.925798,44.704213,-27.838988,29.533907
62.723815,-24.631337,13.706859,45.922752,-27.262985,27.884024
62.456242,-24.903568,14.503032,45.880944,-27.795947,28.474059
62.726255,-26.795468,15.124185,45.623808,-28.921690,29.052438
62.476660,-26.925879,16.163080,45.518668,-30.177369,29.637372
62.814627,-27.886504,17.307473,45.341021,-30.732662,30.041580
62.557858,-27.933932,17.917041,42.396107,-33.033076,29.825925
63.509473,-29.376429,17.772010,43.145309,-30.961777,31.141763
63.276688,-29.718909,18.504187,42.019838,-32.494458,32.061837
62.722502,-30.670773,18.834867,41.925106,-32.523767,31.743796
60.054136,-28.358452,21.926577,41.050479,-32.482303,32.603789
58.619603,-27.968563,22.785894,39.229759,-31.844431,34.397189
57.390078,-26.851577,24.260720,37.908918,-30.936971,34.811562
56.276396,-25.463956,25.434019,36.730321,-30.707072,34.489739
59.119881,-28.335033,22.258937,35.052284,-29.768044,34.656500
57.453342,-30.281621,22.780230,34.389629,-30.211172,33.891764
56.661851,-30.981221,22.195878,34.359165,-31.531168,33.241914
56.588902,-30.641435,21.713130,33.468553,-32.738912,31.620649
55.817148,-31.261971,22.402649,34.140754,-33.465435,30.826871
55.541153,-32.606008,22.884971,34.701943,-35.757623,32.041202
54.795698,-32.490774,25.502611,34.856868,-37.045277,33.712583
56.159473,-33.497729,25.424212,34.929116,-37.152121,34.085579
55.669506,-33.276118,24.441871,35.310332,-36.664690,34.834643
55.587886,-33.312786,24.371346,35.386575,-36.563603,34.980265
54.868147,-33.149727,25.597641,35.253002,-36.730718,34.713525
54.810987,-33.043520,25.277133,35.131306,-36.354219,33.992334
