cam1_X,cam1_Y,cam2_X,cam2_Y
1067.388465,547.705843,467.723180,548.874181
1086.556803,551.813344,486.891518,549.330570
1146.343763,559.571957,547.134867,552.068904
1165.512101,563.223069,565.390427,552.981682
1064.193742,528.537505,472.287070,530.162232
1082.905691,531.732228,491.911797,530.162232
1142.236262,539.490841,549.873201,532.444177
1161.860989,542.685564,570.867095,534.726122
1044.935092,519.738334,489.543611,521.129815
1172.997915,509.594321,567.383340,502.584194
1042.369241,500.669380,491.521346,506.235306
1061.841839,503.914813,510.588264,507.452343
1081.720115,506.348888,529.655183,507.858022
1169.346803,490.527403,572.251489,482.705917
1067.927025,454.827641,476.511219,462.827641
1087.805302,457.667395,497.200854,463.233320
1106.872220,460.507148,517.079130,464.450357
1112.551728,478.357029,545.476668,476.620731
1166.101370,469.026410,576.713960,464.044678
1064.577442,434.590945,483.974583,443.115171
1084.771247,436.754567,503.447180,443.836378
1102.801430,439.278793,524.001589,444.918189
1162.301033,449.736299,580.976966,446.000000
