cam1_X,cam1_Y,cam2_X,cam2_Y
519.766779,611.586180,417.051789,578.135847
537.210981,613.208896,436.676516,578.592236
589.543586,620.511120,492.812364,579.961403
606.176430,622.133836,514.262647,580.874181
518.549742,593.736299,422.072068,558.511120
534.776906,595.764694,441.240406,559.423898
587.515191,603.066918,498.289032,561.705843
604.553713,605.095314,516.544592,561.705843
503.133936,587.651112,436.220127,548.926951
613.884333,576.697776,512.437091,529.758613
501.511219,570.612589,440.784017,532.953336
519.766779,572.235306,461.777911,532.953336
536.399623,574.263701,482.771805,533.866114
610.233221,560.064932,517.000981,509.677497
521.389496,530.856036,426.635958,491.878326
538.428018,533.695790,446.260685,491.878326
556.683578,535.318507,465.885412,492.334715
563.580123,549.517276,494.637920,501.918884
608.610504,540.592335,524.303205,490.965548
520.983816,513.411835,430.287070,470.428043
536.805302,515.845909,451.280964,472.253599
553.843824,518.279984,469.992913,472.709988
606.582109,524.770850,528.410706,472.709988
