pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
4.284212,5.036460,8.569474,4.173833,5.161661,7.984928
4.045818,5.282830,8.671514,4.146186,4.976977,8.193981
4.279713,5.189565,8.368327,4.235198,5.441955,7.976408
4.539699,5.279942,8.377827,4.277824,4.679143,7.706196
4.038816,5.063408,8.155252,4.193762,5.150162,7.875498
4.383523,5.026045,8.822337,4.320202,5.281877,8.100140
3.745521,4.824857,7.850521,4.549905,4.792115,7.594891
3.965006,4.972724,8.462307,3.935646,5.403773,8.652146
3.653097,5.229503,8.631457,3.920371,5.428465,7.886696
3.978202,5.009268,7.762158,3.915333,4.992259,8.110431
3.903393,5.221327,8.881457,4.347522,5.135087,7.939197
4.255412,5.047156,8.308833,3.923864,5.294198,7.564382
4.057980,5.760530,8.613528,4.311497,4.933717,7.412688
3.961170,5.514762,8.540861,4.568856,5.236787,7.867057
4.316095,5.480836,8.336751,4.100448,5.034048,7.641015
3.974930,5.048249,8.015069,4.061356,4.929667,8.109444
4.114247,4.916888,8.090410,4.530868,5.060911,8.074821
4.183542,5.399018,8.305181,4.197684,4.912764,8.195859
3.999224,5.540058,7.859420,4.087295,5.050058,7.296225
3.842232,5.456059,8.496594,3.951296,4.910578,7.464713
4.272657,5.094630,8.293940,4.059775,5.304181,8.398510
4.152935,4.972578,8.420722,4.054211,4.997645,7.930507
4.066090,5.304884,8.655085,4.394778,4.889038,7.502530
4.589160,5.213795,8.463910,4.424140,5.196640,7.770776
4.320468,5.232419,8.640222,4.062121,4.978149,7.562977
4.404474,5.237703,8.306457,4.002707,4.686825,8.001545
4.054516,5.266841,7.849831,4.005415,4.947530,7.856947
4.333076,5.316352,8.816074,4.142340,5.089891,7.615511
4.035517,5.279535,9.006033,4.013757,5.307936,8.513280
4.167479,5.176955,8.617333,4.338448,4.938724,7.314912
4.497602,5.199511,8.439995,4.191000,4.959221,7.359898
4.303930,5.224796,8.238973,4.399531,4.951001,7.442020
4.267536,5.111872,8.436997,4.314852,4.700060,7.530686
4.002247,5.446623,8.769870,4.093975,5.510397,7.739474
4.141070,5.481030,8.192092,4.382610,5.092861,7.832569
4.524249,4.916484,7.957286,4.280475,5.129227,8.285105
3.895810,5.551463,8.795411,4.186150,5.269909,7.993108
4.075099,5.074385,8.510445,4.503131,5.145622,7.887169
4.600552,5.178821,7.954950,4.438748,5.144481,7.896428
4.131413,5.117400,8.367696,4.030097,5.196427,7.803735
4.212592,4.860887,7.309523,4.256370,5.212954,7.716779
4.156568,4.984962,8.365603,4.177829,5.145067,8.081323
4.397116,5.059891,8.553987,4.143122,5.317543,8.030802
4.013069,5.485278,8.276511,4.212825,5.135344,7.508087
4.189790,5.543211,8.464051,4.051197,4.772400,7.416512
4.281352,5.271706,8.850021,4.526925,5.104218,7.829831
4.435806,5.369705,7.842774,4.272698,5.595244,8.253441
4.538786,5.357163,8.369511,4.249149,5.168751,7.745014
4.167287,5.132478,8.092232,4.136478,5.169733,7.756097
4.291322,5.829906,8.885135,4.199557,5.325590,8.444985
4.355170,5.298912,8.534490,4.001442,5.202421,7.435142
3.923584,5.407892,7.731205,4.396291,5.054761,7.573695
3.967215,5.458593,8.446806,4.297860,5.081666,7.689070
4.149973,5.528101,8.619359,4.350544,4.933633,8.089273
3.561564,5.383452,8.635926,4.263379,5.102058,7.561833
4.196748,4.962486,7.989095,3.797715,5.653577,7.690159
3.717697,5.341794,8.431959,4.120172,5.138248,7.977679
4.072632,5.487427,8.713377,4.324372,5.000503,7.662000
4.143151,5.362785,8.222955,4.083239,4.907261,7.365845
3.685678,5.241713,7.906461,4.039834,4.805204,8.009910
3.690196,5.325263,8.092106,4.242049,4.794786,7.826782
4.107549,4.532483,7.852550,4.303658,4.993127,7.455933
4.004089,4.856785,7.563078,4.230704,5.220377,8.177357
4.110072,5.367787,8.581937,4.542223,5.000143,7.759616
3.911837,5.424247,8.434378,4.111300,4.594708,7.681269
4.004347,5.179983,7.837640,4.011682,5.491062,7.715236
3.806562,4.797303,8.130866,3.988819,4.722544,7.494742
4.217089,5.305704,8.098248,4.122477,5.196285,7.656116
4.155262,5.182137,8.225882,4.388758,5.111588,7.581502
4.233396,5.158527,8.370961,4.201025,5.349775,8.010446
4.397054,5.807950,8.861415,4.231066,5.011945,8.022193
4.283824,5.179229,8.067025,4.053742,5.378668,7.702522
4.375740,5.337935,8.138068,4.366470,5.248449,8.539027
3.851446,5.280290,7.743698,4.289260,4.858925,8.052798
3.765035,5.318632,7.743492,3.967814,5.049201,7.413187
4.278796,5.320070,8.320195,3.910551,4.999210,7.872192
4.470276,5.481802,8.782789,4.268300,5.024433,7.978593
4.083507,5.167134,8.759983,4.092982,4.661313,7.535585
4.384810,5.396611,8.625403,3.975297,4.868673,7.662842
4.308413,5.182475,8.942742,3.954960,5.173260,7.720205
4.180376,5.332386,8.522320,4.535819,4.970333,7.935361
4.150928,5.130983,8.239685,4.006193,5.522227,8.271149
3.973368,5.437735,8.485878,4.126987,5.325252,8.159898
4.366321,5.017156,8.231022,3.998933,4.973455,7.817147
4.238061,5.426960,8.402627,4.134027,4.999695,7.605654
4.178466,5.218829,8.265620,4.374895,5.118085,7.495150
4.002228,5.444360,8.667638,4.121483,4.624004,7.558176
4.131320,5.073206,8.427852,4.179069,5.499348,8.288886
4.047095,5.158193,8.415820,4.239749,5.159897,7.546107
4.004987,5.046869,8.210821,4.168076,4.741837,8.044041
4.156582,4.998638,8.488624,4.244745,4.837696,7.881315
4.122779,5.314489,7.655925,4.066488,5.132028,7.616655
4.159795,5.408348,8.284021,4.336361,5.874452,7.986742
4.160208,5.123096,8.062377,4.165352,4.801927,7.532117
3.866859,5.308104,8.262464,4.142823,5.782355,8.272359
4.102189,5.028385,8.457159,4.386682,4.973772,7.763765
4.327384,5.194489,8.120088,4.571881,4.812389,7.464135
4.358130,5.163152,8.253387,4.062082,5.060735,7.824537
4.134216,4.941172,8.261177,4.299413,5.082085,7.401052
4.609961,5.137860,8.603066,4.088600,5.045423,7.643256
4.350434,5.103337,8.149621,3.912776,5.630315,7.587605
4.464411,4.922232,7.665644,3.965850,4.979555,7.197659
4.165517,5.676742,8.674231,4.029658,5.179133,8.074950
4.004026,4.886192,8.482388,4.008704,4.860504,7.777803
4.185817,5.391943,8.556381,4.211394,4.853131,7.948700
4.302471,4.923382,7.626816,4.144829,5.288828,8.061693
3.868402,5.162058,7.812961,4.422899,5.484759,7.947967
4.085935,5.732550,8.742209,4.120591,5.058468,7.877268
3.842323,5.361205,8.607928,4.273012,5.366471,7.728341
4.008046,4.752583,8.054658,4.189688,5.308099,7.878064
4.018612,5.238920,8.466261,4.111359,5.258175,7.811010
3.721910,4.905516,7.973054,4.234798,5.546716,7.845046
4.203733,4.937603,8.204095,4.368075,5.166678,7.590238
4.586856,5.057079,8.358033,4.174901,4.800465,7.501272
4.141051,5.109117,8.143841,3.987004,5.790372,7.559657
4.333544,5.043801,8.115295,4.193018,5.078443,7.913423
3.828848,5.245392,8.415234,4.003112,5.215770,8.304883
4.164415,5.254724,8.006226,4.041909,4.981459,7.487067
4.131739,5.052400,8.345594,3.908177,4.746953,7.595685
4.151625,4.955194,8.050809,4.126721,5.129425,7.563340
4.025332,5.199288,8.226638,4.128888,5.587881,8.259301
4.208497,5.093489,8.961850,4.358710,4.869923,7.179876
3.848761,4.721194,8.286820,4.166165,5.550344,7.787904
4.154430,5.054486,8.112820,4.341522,4.850234,7.262442
3.984269,4.916021,8.370340,4.290615,4.854168,7.985146
4.109635,5.343454,8.430744,4.010868,5.195068,7.318832
3.872783,4.994105,8.187664,4.099503,4.856095,7.835926
4.280706,5.036570,8.495055,4.062416,5.472249,8.863756
4.278513,4.798617,7.786301,4.224775,4.961763,8.063289
4.428344,5.272613,9.050330,4.364088,5.673105,8.117386
4.136341,5.206606,8.705967,4.471765,5.184013,7.977904
4.366607,4.989527,7.772078,3.951119,5.309621,8.251615
4.418624,5.096380,8.119014,4.564546,5.558178,8.123103
4.224304,5.107226,8.768064,4.220081,5.354683,8.047033
4.141399,5.279608,8.549185,4.183588,5.125865,8.323932
4.116755,5.246038,8.385395,3.964314,4.954531,8.796207
4.216394,4.911529,7.860526,4.009781,5.474257,7.434306
4.107630,5.454495,9.062481,4.514852,5.129201,8.267027
4.326741,4.975275,8.474783,4.001490,5.253799,7.926948
4.024467,5.505223,8.557798,4.088039,4.891916,7.634975
4.169258,5.029478,7.598662,3.892713,5.396117,7.231382
3.974680,5.279420,8.621179,4.241205,5.277653,7.327868
4.057274,5.559629,8.713394,4.153883,5.088393,7.823173
4.192619,5.268560,8.459480,4.231259,5.286798,7.918968
4.109349,5.049913,8.466238,3.940970,4.976031,7.603830
3.949956,5.200339,8.487538,4.160307,4.952796,7.851803
3.886824,5.124888,8.283360,4.106537,4.784328,8.212911
4.038097,5.378704,8.297265,4.098171,4.844502,8.200276
4.052845,4.721931,7.898735,4.326262,5.016193,7.128689
4.134374,5.287627,8.458500,4.141701,5.356876,7.661474
4.384181,5.106749,7.878810,4.277032,5.354638,6.980311
4.384467,4.877344,8.332037,4.043409,5.422806,8.623425
4.484943,5.346538,8.597397,4.093581,5.228064,8.032606
3.745206,4.884098,8.381707,3.927511,5.233545,7.907182
4.173603,5.594208,8.158034,4.356423,5.428187,8.177936
4.356278,4.910531,8.088985,4.349914,4.644416,7.525162
3.982260,5.748468,9.207628,4.368112,4.849893,7.977652
4.141887,4.986166,8.379238,4.002496,5.069849,7.923124
4.103642,5.184627,8.540745,4.188044,5.051203,7.915937
4.277368,4.952129,8.160402,3.961413,5.373427,7.879131
3.981256,5.126949,9.052976,4.026278,5.237890,8.269787
4.025706,4.797069,8.376996,4.142113,4.893521,7.898804
4.249807,5.332683,8.128468,4.219078,4.959639,8.008160
4.031790,5.370923,8.157949,4.028776,4.848635,7.644677
4.346097,5.347006,8.716529,4.024492,5.091612,7.841497
