cam1_X,cam1_Y,cam2_X,cam2_Y
800.850960,505.249454,407.529439,514.369416
820.932076,509.356955,426.904095,515.509102
883.000981,519.853902,485.028061,518.928159
901.712930,523.505014,503.642927,520.067844
797.199848,486.993894,413.987657,495.754551
818.193742,490.645006,433.362313,498.413817
879.806258,499.772786,490.726489,499.933398
899.430985,504.336676,510.860936,502.212769
779.400677,480.604448,435.382944,487.688423
909.471543,469.651112,508.461734,469.200656
778.487899,463.718055,436.722511,474.003282
797.656237,467.369167,455.332686,475.203939
817.280964,469.651112,474.843353,476.404595
905.364042,450.482774,513.817396,450.402407
802.676516,414.428043,422.567505,429.591028
822.757632,417.622766,442.578446,429.991247
842.382359,421.730267,461.388731,431.191904
847.859027,441.811383,491.004923,445.199562
903.082097,431.314436,519.420460,432.792779
798.569015,393.890538,428.971006,409.580087
819.106520,398.454428,449.382166,411.581181
839.644025,401.192762,467.392013,413.182057
899.887374,412.146098,525.023523,413.582276
