pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
42.269173,-19.587406,11.098716,24.829822,-24.611166,29.985346
42.209716,-19.709506,11.023859,24.793701,-24.632387,30.045821
42.152723,-19.769097,10.919702,24.832079,-24.633282,30.048730
42.087739,-19.834544,10.794323,24.809378,-24.617829,30.071929
41.767609,-19.273641,10.795972,24.790390,-24.639234,30.036556
41.506910,-19.026538,10.698487,24.884680,-24.383057,30.089604
41.413889,-19.001669,10.714615,24.896689,-24.392424,30.077440
41.391798,-19.056760,10.616015,24.979790,-24.383139,30.112082
41.397106,-19.101787,10.549831,25.034752,-24.474027,29.988498
41.497035,-18.944307,10.409354,25.128609,-24.566893,29.870017
41.447372,-18.995901,10.306665,25.119189,-24.646238,29.732641
40.684475,-18.341655,10.671771,25.066991,-24.730865,29.601237
40.410411,-17.900596,10.385600,25.139860,-24.070661,29.594328
40.059312,-17.531089,10.048094,25.149222,-24.085385,29.650625
39.412479,-17.328470,9.799410,25.170909,-23.255560,30.734581
38.905392,-17.091586,9.205339,24.914013,-23.203660,30.820475
39.014550,-16.716441,8.499060,25.499332,-23.304836,30.356680
39.006638,-16.587512,8.698043,26.034072,-22.384191,29.469824
39.026159,-16.719990,8.920932,25.323415,-22.487035,30.265986
39.040414,-16.672777,9.009130,25.231489,-22.543176,30.208645
39.067438,-16.651021,9.047759,24.774137,-23.327129,28.594613
39.089641,-16.676452,9.009841,24.466241,-21.782074,28.903896
39.114012,-16.759480,8.877899,24.763100,-21.280028,28.294969
39.119552,-16.779390,8.415001,24.233902,-21.421716,27.903248
38.648352,-16.695459,7.556253,23.720631,-20.608499,27.123363
38.133928,-16.700763,6.515810,23.212390,-20.198280,26.429375
38.332509,-16.376360,5.006333,23.352777,-19.232638,26.973394
38.880244,-16.293356,5.282758,23.288727,-18.946512,26.986800
38.905499,-16.452157,5.449864,23.464690,-18.825369,26.859965
39.175809,-16.758410,5.464495,23.615738,-19.053156,26.899635
39.295312,-16.836942,5.341971,23.814703,-19.247616,27.037008
