cam1_X,cam1_Y,cam2_X,cam2_Y
804.955421,649.105441,438.246512,584.336676
821.588264,651.539516,458.784017,585.705843
873.920870,658.030381,514.919865,587.075010
889.336676,660.464456,535.000981,586.618621
800.898630,631.661239,444.179569,564.711949
817.531473,634.500993,463.347907,566.081116
870.269758,640.991859,519.027366,566.537505
886.496922,643.020254,538.652093,566.537505
786.699861,624.764694,461.978740,555.584169
895.827542,615.434075,534.088203,537.328609
785.077144,608.537530,464.260685,539.610554
803.332704,610.565925,482.516245,541.436110
821.588264,613.405679,502.597362,541.892499
893.799146,597.989873,539.564871,517.703882
806.578137,569.592335,448.743459,497.622766
825.239376,572.432089,468.368186,498.535544
839.032466,574.460484,487.992913,498.991933
845.929011,589.064932,515.832643,510.401658
890.553713,580.951350,545.041539,498.535544
803.738384,552.148133,455.132905,477.998039
822.805302,554.987887,474.301243,479.367206
838.221108,557.016283,493.469581,479.823595
888.119639,563.912828,549.149040,479.367206
