pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
733.520000,333.960000,469.330927,384.636582,628.640000,301.570000,370.750903,361.018452,NaN,NaN,NaN,NaN
729.149218,312.931408,470.357802,371.287204,628.950000,301.840000,371.520000,361.520000,NaN,NaN,NaN,NaN
723.870000,298.050000,471.384677,357.937826,629.580000,301.980000,369.724027,362.045327,NaN,NaN,NaN,NaN
727.608905,317.552347,474.465303,367.179703,633.649819,300.608905,369.724027,359.991576,NaN,NaN,NaN,NaN
729.149218,316.012034,475.860000,367.860000,636.690000,301.760000,372.804653,361.018452,NaN,NaN,NaN,NaN
728.030000,317.970000,477.840000,368.980000,636.730445,306.770156,374.550000,361.180000,NaN,NaN,NaN,NaN
727.910000,319.950000,479.590000,369.210000,637.910000,309.030000,373.831528,363.072202,NaN,NaN,NaN,NaN
729.130000,321.830000,480.060000,369.680000,639.970000,310.160000,374.858404,365.125953,NaN,NaN,NaN,NaN
729.530000,323.950000,481.653430,376.421580,641.030000,310.430000,376.912154,370.260329,NaN,NaN,NaN,NaN
730.680000,325.930000,482.630000,376.150000,641.430000,309.300000,376.912154,366.152828,NaN,NaN,NaN,NaN
732.110000,327.980000,483.630000,375.670000,642.390000,308.520000,376.912154,364.099077,NaN,NaN,NaN,NaN
732.850000,330.000000,482.680305,372.314079,643.040000,307.810000,377.030000,362.290000,NaN,NaN,NaN,NaN
732.330000,331.980000,485.760931,383.609707,643.020000,306.660000,376.920000,361.800000,NaN,NaN,NaN,NaN
730.689531,322.173285,484.734055,376.421580,642.880000,306.420000,376.920000,361.670000,NaN,NaN,NaN,NaN
730.150000,315.000000,485.760931,367.179703,643.200000,306.150000,376.720000,361.180000,NaN,NaN,NaN,NaN
729.149218,320.632972,491.922182,367.179703,644.450000,306.040000,376.920000,361.300000,NaN,NaN,NaN,NaN
730.689531,320.632972,490.895307,370.260329,645.450000,306.020000,376.910000,361.170000,NaN,NaN,NaN,NaN
730.950000,321.140000,491.960000,370.760000,646.090000,306.040000,377.180000,361.330000,NaN,NaN,NaN,NaN
731.720000,322.240000,493.200000,371.020000,647.710000,306.350000,379.992780,363.072202,NaN,NaN,NaN,NaN
