pt1_dltres,pt2_dltres
0.682069,0.300713
0.487381,0.166640
0.452236,0.353258
0.035547,0.124069
0.004563,0.160340
0.049499,0.101095
0.396853,0.110752
0.393543,0.378034
0.451174,0.221649
0.504660,0.377220
0.405541,0.430840
0.270136,0.032733
0.407432,0.090277
0.494364,0.189977
0.518025,0.194975
0.516142,0.311204
0.557931,0.385022
0.778724,0.372958
1.087397,0.224940
1.648455,0.342083
1.711096,0.542857
1.479505,0.270662
0.900881,0.381698
1.154443,0.207383
1.111427,0.198744
1.120390,0.270634
0.458946,0.131940
0.186759,0.254138
0.544683,0.255361
1.376556,0.084071
1.775397,0.078102
1.870915,0.410672
2.319199,0.502822
2.878152,0.028310
0.457666,0.495550
0.121526,0.407043
0.345293,0.247105
0.369542,0.190536
0.974392,1.387147
1.685359,1.261627
2.453467,0.709082
2.841236,0.854845
2.694610,0.505400
2.733183,0.868131
2.791985,1.207842
2.873501,0.422927
0.918303,1.176408
0.161310,0.633190
0.588888,1.174326
1.207548,1.347328
1.628399,2.217764
1.450895,2.143324
1.302775,2.332542
0.595318,2.446578
0.234858,0.323649
0.200220,0.389741
1.029493,0.481249
1.050606,1.222204
0.336069,0.180677
0.466633,0.000193
1.360938,0.756870
1.727142,0.964966
1.485260,1.571267
1.451293,1.578761
1.746662,1.774853
2.008637,1.587771
2.024612,1.484693
2.282260,1.592496
2.644590,1.739701
1.029099,1.435914
0.163027,1.771765
0.194799,1.951434
0.098755,1.935036
0.631607,1.347039
0.655361,1.243137
0.441087,1.439679
0.107251,1.599605
0.232106,1.233768
0.308830,1.315304
0.859187,1.767172
2.493710,0.782667
0.601288,1.262332
0.348493,1.370606
0.499192,1.458071
0.739279,1.663110
1.666960,1.556880
0.728397,1.359076
0.216493,1.168732
0.552140,1.158749
0.859573,0.721598
1.051282,0.587198
1.163838,0.588274
1.019969,0.620735
0.573662,1.218024
0.262883,1.058741
1.234761,1.185271
0.567766,1.064285
0.127663,1.248090
0.141879,1.311553
0.359625,1.131694
0.923816,0.917056
1.152341,1.240349
1.374624,1.069801
1.132519,1.415912
0.447225,0.678598
1.448653,0.537268
2.312917,0.483356
2.715855,0.701795
2.579107,0.864178
1.401894,0.480728
0.324453,0.469540
0.426018,0.209367
0.964699,0.165747
1.630243,0.469314
0.083624,1.260330
0.524476,0.115858
1.738876,0.082006
1.301481,0.745782
0.526144,1.304862
0.385183,0.302540
0.139057,0.445648
0.250587,0.507660
0.294002,3.086752
0.181648,3.603901
0.694331,2.771996
0.688178,1.957215
0.249013,2.081914
0.484221,0.246073
0.928803,0.648881
0.801067,1.176867
1.380710,0.272033
0.712407,0.769852
0.974142,0.724536
1.143696,0.195602
0.906030,0.041738
0.360604,0.490356
0.007641,0.901208
0.567866,0.503699
2.661795,0.324881
1.787219,0.954146
0.931615,0.333882
1.973505,1.147146
2.025404,1.345168
1.515969,1.296926
1.995937,1.317983
2.256383,1.270184
2.316116,1.571498
1.907271,0.842095
1.389980,2.449292
1.922220,0.519389
1.603038,0.877971
0.573444,1.253256
0.051214,1.422450
0.166001,0.801400
0.316493,2.295911
0.029483,0.113328
0.443479,1.050359
0.473206,1.900948
2.084469,2.031516
0.126993,2.733850
0.544124,2.510669
0.316939,2.397042
0.297317,2.425797
0.809205,2.226199
0.512361,1.479900
0.074164,1.229025
0.011843,1.727802
0.078689,1.765007
0.351965,1.442804
0.383647,1.616024
0.465271,1.304500
0.467606,0.991680
0.368350,1.400310
0.214621,1.237851
0.807213,0.956771
0.288806,2.346250
0.734474,2.204291
0.525877,1.389146
0.586246,1.495945
0.683123,1.057419
1.159649,0.646423
1.846022,0.411353
1.673481,0.284466
1.728112,0.966085
1.023838,1.364519
0.124220,0.802003
0.716732,0.925724
1.087585,1.107316
1.060917,0.902110
1.210699,0.610845
0.762992,0.719289
1.912402,2.779346
1.660541,2.547834
0.722523,1.328116
2.965121,0.779310
2.177441,0.662753
2.401576,0.676879
2.428754,0.015462
2.563578,0.077798
2.622141,0.432462
2.459888,0.830979
2.029120,0.467058
1.478928,0.480807
0.833622,0.621631
0.322761,0.929039
0.326811,0.829624
0.463849,0.496273
0.508200,0.451361
0.425770,0.474419
0.453125,0.591958
0.419802,0.487437
0.405689,0.443167
0.410508,0.482708
0.422271,0.815795
0.587909,0.641794
0.662796,0.943794
0.673465,0.699672
0.840171,0.561409
0.430985,0.657129
1.457652,0.876135
0.727340,0.850254
0.649761,0.904792
0.554696,1.000419
0.596354,0.630379
0.645390,0.517621
0.541743,0.359668
0.488238,0.055792
0.399888,0.791597
1.014849,1.022018
1.614533,0.774555
0.853485,0.260955
0.448701,0.287075
0.220853,0.941609
0.599239,1.192106
1.068595,1.945559
1.088526,2.086859
0.527485,1.547906
0.018733,1.149878
0.259759,0.657459
0.000996,0.022178
0.495309,0.235092
0.059490,0.427155
0.044213,0.646838
0.719526,0.895825
0.657484,0.931498
0.938796,1.234498
1.123840,1.261590
1.122233,1.043562
0.736116,0.876953
0.007038,0.475973
0.264973,0.784502
