pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
4.630027,6.419802,10.533367,5.133154,6.177730,8.900239
4.470098,6.396104,9.675476,4.926117,5.818757,9.216757
4.682575,5.932227,8.501461,5.140376,5.945881,9.898678
4.635015,6.143008,9.469119,5.032479,5.673049,9.902220
4.496813,6.090974,9.366147,4.776818,6.082998,9.267356
4.865678,5.766414,9.871480,4.742887,6.170979,9.407152
4.295678,5.181042,9.165262,4.728782,5.922496,8.876693
4.403845,5.509594,8.945942,4.870309,6.659892,9.331978
4.214695,5.570307,9.436804,5.045490,5.736165,9.766984
5.016156,5.811399,9.699775,5.101363,6.068682,9.468868
4.368066,6.361171,10.007206,4.656193,5.699229,9.637353
4.525222,5.861815,9.370099,4.877322,5.769985,8.490608
4.841867,5.780284,9.316729,4.918080,6.397238,10.047656
4.487681,5.838568,8.573899,5.206568,5.993227,9.024345
4.778269,5.797734,9.101812,5.088822,5.648810,8.899117
4.468811,5.765522,9.215247,4.879253,5.981697,9.297057
4.505884,5.917155,8.993031,4.576218,5.720246,8.839798
4.415139,5.653144,9.025015,5.369467,5.886827,9.536153
4.528794,5.436011,9.306263,5.210172,5.978847,9.206398
4.645958,5.753029,8.785473,5.051863,6.057660,9.647524
4.500309,6.001712,9.378580,5.003503,5.618083,9.203007
4.510833,5.680350,9.874784,4.804290,6.847646,9.170492
4.636958,5.546047,9.160709,5.349814,6.376674,9.540661
4.539911,6.007842,9.672666,4.604548,6.792984,9.841343
4.608456,5.848462,9.487222,5.249707,6.138112,9.834427
4.851856,6.062803,9.088798,5.064717,6.250801,9.162708
4.739705,5.783029,9.292742,5.041341,5.883375,9.965865
4.765064,5.487598,8.607473,4.719724,5.887700,8.744228
4.710944,5.765937,9.434056,5.158068,6.072869,9.332871
4.229134,6.053108,9.204960,4.960503,5.963517,9.496136
5.035989,5.849449,9.816761,4.868315,6.118874,8.978516
4.783102,5.765816,9.185785,5.316025,6.021325,9.637719
4.737287,6.003275,9.295081,4.841555,6.134858,8.894418
4.332605,6.099840,8.277012,5.257468,6.272131,9.422026
4.531259,6.149796,10.206963,4.976604,5.826214,9.333939
4.530182,6.114527,9.045762,5.319857,5.941109,9.436570
4.225946,5.404647,8.878011,4.986960,5.850929,9.616910
4.715006,6.228349,9.815152,4.991688,5.865897,9.681640
4.736237,6.000936,9.677718,4.811949,6.345710,9.562343
4.859382,5.988156,9.549748,5.204373,6.192487,9.464655
4.573777,6.047021,8.771001,4.971863,5.975853,9.079887
4.686985,5.799660,9.298920,5.003589,6.312126,8.860605
4.632357,6.036512,9.793481,5.088619,5.746397,9.223378
4.518043,6.025013,9.104951,5.000815,5.858775,9.496709
4.515837,5.596869,9.421692,4.960166,5.653512,8.850167
4.476743,5.989669,9.075390,4.944699,5.891870,9.527693
5.000182,5.971972,9.423916,4.983830,6.332583,9.554082
5.016586,5.762719,9.279954,5.110202,6.808638,9.346861
4.794950,5.880420,8.988725,4.962689,6.165005,9.356915
4.788354,5.870379,9.155423,4.802927,6.200034,9.132336
4.452909,5.412477,8.573437,4.934286,5.865172,9.458411
4.770899,5.719659,10.016955,4.871280,6.287157,9.015443
4.561995,6.243414,10.011204,5.289076,6.221039,9.223197
4.597536,5.658785,9.004393,5.102060,6.016549,9.189629
4.834738,5.196113,8.791266,5.215963,6.243979,9.301159
4.507708,5.905405,9.574207,4.983971,6.532289,9.314149
4.396810,6.072234,9.651771,5.554291,5.175502,8.328341
4.716046,5.894919,9.349733,5.108567,5.988000,9.564324
4.575422,5.557300,8.529751,5.335252,5.608621,9.505940
4.593663,5.495473,8.717906,4.648319,5.887743,8.205598
4.390028,5.915982,9.050419,4.847609,6.427141,9.510843
4.802089,5.761584,9.135560,5.072101,5.900560,8.634598
4.788250,5.771710,9.117019,4.779819,6.010781,8.385224
4.556392,5.689666,8.476115,5.192450,5.932380,9.804838
4.644684,5.588644,9.383530,5.214273,5.794685,8.950048
4.651460,5.870709,9.300892,5.100668,6.373576,9.347517
4.264129,6.030338,9.375576,5.314551,6.522294,9.079757
4.595310,5.584870,7.914651,5.097832,5.876625,9.067320
4.487527,5.499403,8.976457,4.995644,6.404061,9.457335
4.444533,5.009663,8.975314,5.080559,5.980911,8.571342
5.062692,5.911054,9.240420,5.237914,5.855518,9.059039
4.649400,5.570782,9.594138,4.962911,5.574722,8.647686
4.369454,5.989275,9.630882,4.721388,6.534668,9.369432
4.492149,5.679662,8.924997,4.933255,5.868355,9.607630
5.227761,5.951206,9.774903,4.666970,6.236994,9.469425
4.482760,5.751174,9.625315,4.711027,6.014132,8.952323
4.951635,5.914463,9.262118,4.865012,6.163256,9.029420
4.603737,5.460481,9.202960,4.863038,6.523958,9.369997
4.496638,5.787751,9.639766,5.070664,6.127833,9.165715
4.626516,6.198131,9.559989,5.433419,6.416487,8.844009
4.541584,5.822355,9.375761,4.906991,5.691065,8.451771
4.475123,5.836503,9.211518,5.001110,5.647602,9.382112
4.647158,5.825012,9.710019,4.869266,5.960396,8.627425
4.525249,5.594789,8.293136,4.817803,6.256493,9.314623
5.013803,6.035241,9.644919,5.360023,6.106705,9.563056
4.570963,5.691880,9.620025,4.632369,6.021233,8.086773
4.668769,5.973215,9.347633,4.808960,6.517598,9.699809
4.458995,6.209397,9.764192,4.657318,5.778858,9.458782
4.631534,6.163914,9.735857,4.811606,5.998584,9.314773
4.750517,5.775433,8.439591,5.065348,5.787842,8.608660
4.364290,5.224979,8.968291,4.962779,5.948095,8.667599
4.628489,5.210597,9.136091,5.060474,5.949472,9.788815
4.299470,6.333774,10.380507,4.972197,5.977810,8.936005
4.524782,5.990731,9.178730,5.492159,5.622603,8.597251
4.814308,5.644275,9.486218,4.898841,6.158691,8.767338
4.518176,6.246808,9.478350,5.116038,6.146306,9.558674
4.348467,6.060162,9.257430,4.916397,6.160755,9.672369
4.847029,6.142214,9.677014,5.346015,5.709060,8.826044
4.614971,5.651843,9.157451,4.893453,5.915676,9.736944
4.511666,6.095413,9.332565,4.788181,6.615902,9.378068
4.643344,6.047974,8.783014,5.085163,6.165224,8.407273
4.475046,5.590457,8.902299,4.927035,6.202240,8.670939
4.817453,5.642275,8.913931,5.032137,6.012688,10.056775
4.839467,6.178606,9.451297,4.968400,5.756704,9.266080
4.889792,5.999739,8.165047,4.747937,5.174376,8.820645
4.619127,5.646885,9.331870,4.724581,6.424706,9.228120
4.410441,5.567103,9.305202,5.262163,6.517577,9.446383
4.659627,5.283415,8.957833,4.932492,6.049707,9.729132
4.429694,5.702899,8.732036,4.798365,5.866865,9.035088
4.343431,5.782885,8.930579,5.027242,6.047431,9.236636
4.886832,5.640177,9.215730,5.332558,6.105912,8.423322
4.671547,6.140320,9.061225,4.762565,6.370160,9.745770
4.580369,6.018278,9.501265,5.123399,5.896194,9.426781
4.473564,5.425792,8.762655,5.175030,5.850510,8.583731
4.686841,5.312751,9.022217,5.042938,6.424294,9.215282
4.577016,5.471247,8.601753,4.308809,5.594310,9.257252
4.669141,5.691055,8.947044,4.576247,6.067618,9.339725
4.613273,6.059723,8.830031,5.353621,6.017941,8.916013
4.378383,5.625594,9.288030,4.943559,6.197203,9.260255
4.247200,5.876319,9.541173,5.016219,5.418959,8.329148
4.593866,5.798537,9.482428,4.430248,6.228840,8.592833
4.443194,5.997946,9.447210,5.152542,6.140009,9.376588
4.279821,5.669096,9.098085,5.497923,6.040173,9.108579
4.675668,5.493344,9.154022,5.044909,6.475402,8.927948
4.569312,5.875961,8.594387,5.275984,6.262349,8.627425
4.402211,5.637365,8.364298,4.816328,5.823823,9.149894
4.772723,5.504237,8.395813,5.219359,5.742497,9.047329
4.635937,6.183613,9.216644,4.758742,6.101851,9.279096
4.381050,5.597840,8.466112,5.302987,6.685439,9.060208
4.401355,5.377152,8.722578,5.006220,5.979450,9.029105
4.261152,5.852048,9.183984,4.741258,6.041885,9.109181
4.607079,5.862122,9.004624,4.847770,5.940699,9.463098
4.284961,5.383220,8.723965,4.896335,5.976353,9.093630
4.602039,5.926910,9.648633,5.170287,5.973134,9.353624
4.980263,5.654036,9.083646,5.531987,6.376490,8.411814
4.748002,5.965337,7.963215,5.123357,6.465657,9.029100
4.305448,5.533919,7.981353,5.300915,6.125543,9.040818
4.533701,5.974469,9.098626,5.261867,5.963784,8.813659
4.306892,6.187332,9.209274,5.150103,6.136471,8.999122
4.611817,5.574393,8.743656,4.736647,6.303839,9.981001
4.748203,5.683796,9.043640,4.979968,5.385937,9.367708
4.274948,5.942930,10.210412,4.749317,6.143704,9.134685
4.306793,5.160756,8.727390,5.267413,5.890799,9.154315
4.621722,5.915823,9.244582,4.934613,6.428898,8.926745
4.786878,5.544335,8.869992,5.017071,6.151682,9.039903
4.443344,5.515078,8.802870,4.936632,5.850206,8.852603
4.337380,5.746203,9.278986,4.882317,6.058120,8.677744
4.460610,5.442638,9.115582,4.955821,5.852295,9.221700
4.215240,5.812158,9.119585,5.225671,5.944199,8.957876
4.462323,6.187018,9.399787,5.105373,6.160170,9.627515
4.453913,5.710898,9.277846,5.210284,6.327986,8.955652
4.698695,5.420948,9.135481,4.834078,6.133892,8.514438
4.199035,5.306105,8.946676,4.729046,5.819291,8.721005
4.511733,6.214695,9.324574,4.641154,5.825105,8.796824
4.807494,6.111403,9.101432,5.081459,5.705175,8.783376
4.390901,6.027491,8.683066,5.094682,5.811926,8.698130
4.770312,6.095041,9.105100,5.215024,5.866252,8.908189
4.480803,5.698207,9.356680,5.189907,5.937907,9.371945
4.403941,6.050298,9.180336,4.767990,6.250260,9.043639
4.472680,5.222154,9.120632,5.099102,6.298060,9.205226
4.358813,6.050484,9.711268,5.053098,6.351603,9.113535
4.743103,5.526944,9.408752,4.695128,6.150249,9.383992
4.339747,5.658151,9.386978,4.661128,5.923510,9.368254
4.690408,5.707056,9.148904,5.215378,5.672976,9.117386
5.005725,5.745508,8.991780,4.712487,6.264559,8.048944
4.590334,5.465847,9.101621,4.601356,5.857644,8.748798
4.607951,5.357014,8.813194,4.796133,6.447513,8.505029
4.501079,5.708610,8.574188,4.600233,5.604161,9.283222
4.587655,6.245292,8.855357,5.286725,6.285588,9.600271
4.515204,5.722163,9.106438,4.885071,6.537203,9.952356
4.734532,5.603509,9.088733,4.632106,5.700677,9.429718
4.824168,6.016303,9.489024,4.844989,5.750956,8.934854
4.638698,5.909379,9.407815,5.556416,6.181528,9.210699
4.536942,5.863290,9.058921,5.127278,6.213794,9.251244
4.307467,5.230695,8.158164,5.067821,6.425476,9.477911
4.471119,5.246267,8.673705,5.039185,6.577560,9.281289
4.602734,5.890702,9.223225,5.141154,6.034355,8.823473
4.605641,5.784022,9.544182,4.951319,6.026232,9.005669
4.653705,5.753185,9.466473,5.225507,5.551266,8.902429
4.903519,5.464014,9.434402,5.033485,5.876230,9.274053
4.198384,5.892294,9.322963,5.225670,6.065995,9.245810
4.903818,6.074386,9.072345,5.086605,6.052225,8.780348
4.423885,5.909434,9.223346,5.264071,6.412459,9.482712
4.003544,5.601903,8.746936,4.951531,6.206616,8.463060
5.049921,5.523440,9.772388,5.050936,6.053900,9.294438
4.331257,5.367483,9.184337,5.229745,6.466834,8.855513
4.518946,5.650359,9.600722,5.110419,5.792058,8.772610
4.165813,5.787681,10.473173,4.967138,5.614274,8.975307
4.650658,5.722995,9.103403,4.960616,5.847749,8.527576
4.572083,5.721177,9.331968,5.091001,6.122165,8.607120
4.876961,5.312889,8.330286,4.970777,6.156736,9.680793
4.656253,5.791741,9.396915,5.206976,6.072191,9.186612
4.814571,5.741741,9.133908,4.750427,5.971622,9.626211
4.608133,5.857996,9.475922,4.810470,5.859986,9.110043
4.461710,5.538800,9.365947,5.063651,6.092930,8.761283
4.969130,5.836273,9.065060,4.944440,6.000336,8.880488
4.343814,5.926014,9.570953,5.102004,6.442468,9.541306
4.532012,5.740113,9.111726,5.226397,5.643963,8.787386
4.359767,5.870434,8.533524,4.944137,6.024033,8.156418
4.662486,5.423055,9.048704,4.851209,5.935931,9.316507
4.685773,5.524909,8.985952,4.743769,6.031424,9.097304
4.470928,5.762582,9.297706,5.013494,6.217356,8.784402
4.351058,5.859504,9.309479,4.778523,6.319260,9.273231
4.976154,5.563974,8.775731,5.151204,6.161554,9.580778
4.721680,5.838630,8.867818,5.026478,5.791414,9.109581
4.611633,5.788582,8.850353,5.266849,5.600701,8.693234
4.638737,6.054087,9.331820,5.245464,5.651600,8.478957
4.589709,5.842946,9.410666,4.873702,6.096742,9.338406
4.545691,5.851557,8.727507,5.025673,5.678060,9.041342
5.052463,5.881839,9.681868,4.792289,6.231656,8.764033
4.213307,5.405658,9.263268,4.810111,5.924311,9.010280
4.473797,5.511834,9.272909,4.764112,5.881841,9.023326
4.441893,5.516793,9.381323,4.501534,6.086423,8.473858
4.382323,5.767470,9.215802,5.163623,5.835753,8.931718
4.479200,5.667497,8.765065,5.022717,6.262724,10.123737
4.535007,5.912381,9.375698,4.880883,5.837097,8.762275
4.272262,6.309520,9.224197,4.702768,6.595915,9.455982
4.920476,6.200756,9.618808,5.048530,6.103206,10.001688
4.694744,6.055359,8.915477,5.171357,5.839759,9.246413
4.896509,5.988931,9.272968,4.976497,6.221002,9.729230
4.420917,5.741252,8.981279,4.903209,6.242913,9.521832
4.530860,5.839130,8.904669,4.952624,6.067835,8.879462
4.440379,6.080669,8.661898,5.130955,6.340607,9.543876
4.557400,5.926229,9.147473,5.113491,6.079625,9.334195
4.763286,5.862614,9.720214,5.403913,6.132035,8.965562
4.368744,5.680217,9.601058,5.129766,5.891300,9.051631
4.375403,5.981647,9.293462,4.638004,6.017302,9.222626
4.400777,6.339582,9.456289,5.177082,6.687388,9.230025
4.654611,6.079629,9.900111,4.481955,6.189892,9.334881
4.724114,5.651415,9.085380,5.309916,6.153725,9.224039
4.679243,6.026468,9.416430,4.930624,6.055884,8.408328
4.426497,5.882921,9.550928,4.769110,5.819888,9.441762
4.787971,6.248951,9.259029,4.513023,5.676680,8.901796
4.877531,5.593977,9.579158,4.790063,6.192408,9.758983
4.657597,5.998128,9.162776,5.092153,6.443269,8.296229
4.601626,5.656122,8.315188,5.097653,5.369975,9.432731
