pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
23.779692,-3.058510,-11.313483,-2.700633,-6.671678,-12.342303
23.867956,-3.051192,-11.381516,-2.665304,-6.693937,-12.302669
23.958494,-3.044673,-11.449157,-2.628665,-6.716119,-12.263025
24.051250,-3.038954,-11.516352,-2.590730,-6.738223,-12.223371
24.146166,-3.034034,-11.583049,-2.551510,-6.760249,-12.183709
24.243179,-3.029911,-11.649196,-2.511021,-6.782197,-12.144037
24.342227,-3.026586,-11.714739,-2.469280,-6.804067,-12.104357
24.443244,-3.024058,-11.779628,-2.426305,-6.825860,-12.064669
24.546165,-3.022326,-11.843809,-2.382116,-6.847574,-12.024974
24.650921,-3.021390,-11.907230,-2.336734,-6.869211,-11.985273
24.757443,-3.021248,-11.969840,-2.290183,-6.890771,-11.945564
24.865661,-3.021900,-12.031587,-2.242489,-6.912252,-11.905850
24.975505,-3.023345,-12.092419,-2.193677,-6.933656,-11.866131
25.086904,-3.025583,-12.152285,-2.143777,-6.954981,-11.826406
25.199787,-3.028613,-12.211135,-2.092818,-6.976229,-11.786676
25.314083,-3.032433,-12.268916,-2.040834,-6.997400,-11.746942
25.429718,-3.037043,-12.325580,-1.987857,-7.018492,-11.707204
25.546623,-3.042442,-12.381075,-1.933923,-7.039507,-11.667463
25.664725,-3.048629,-12.435352,-1.879069,-7.060444,-11.627718
25.783952,-3.055603,-12.488361,-1.823336,-7.081303,-11.587971
25.904232,-3.063364,-12.540053,-1.766762,-7.102084,-11.548221
26.025492,-3.071909,-12.590380,-1.709391,-7.122788,-11.508469
26.147659,-3.081239,-12.639293,-1.651267,-7.143414,-11.468714
26.270659,-3.091352,-12.686744,-1.592435,-7.163962,-11.428959
26.394417,-3.102247,-12.732685,-1.532943,-7.184432,-11.389201
26.518857,-3.113923,-12.777070,-1.472839,-7.204824,-11.349443
26.643902,-3.126378,-12.819852,-1.412175,-7.225139,-11.309684
26.769473,-3.139612,-12.860985,-1.351002,-7.245376,-11.269924
26.895488,-3.153624,-12.900423,-1.289374,-7.265535,-11.230164
27.021865,-3.168411,-12.938121,-1.227346,-7.285616,-11.190403
27.148517,-3.183974,-12.974035,-1.164975,-7.305620,-11.150643
27.275356,-3.200310,-13.008121,-1.102318,-7.325546,-11.110882
27.402290,-3.217418,-13.040335,-1.039434,-7.345394,-11.071122
27.529224,-3.235297,-13.070636,-0.976384,-7.365164,-11.031362
27.656060,-3.253945,-13.098982,-0.913230,-7.384856,-10.991603
27.782695,-3.273362,-13.125330,-0.850035,-7.404471,-10.951844
27.909022,-3.293544,-13.149641,-0.786861,-7.424007,-10.912086
28.034930,-3.314492,-13.171875,-0.723775,-7.443466,-10.872329
28.160303,-3.336204,-13.191993,-0.660842,-7.462848,-10.832573
