pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
48.791866,-8.770132,-3.188398,25.957076,-12.704575,10.987136
48.826298,-8.784788,-3.067485,26.021322,-12.556719,11.124527
48.861943,-8.856245,-2.936484,26.022171,-12.577863,11.254823
48.891547,-8.972329,-2.798147,25.958422,-12.722869,11.367667
48.903631,-9.108420,-2.658824,25.836961,-12.886298,11.434649
48.888574,-9.232640,-2.527662,25.680295,-12.971426,11.425716
48.844557,-9.314701,-2.413926,25.523169,-12.974773,11.341083
48.783104,-9.340776,-2.324455,25.401864,-12.951898,11.223145
48.726611,-9.319880,-2.262764,25.343641,-12.939659,11.133124
48.695827,-9.273711,-2.229411,25.353197,-12.933702,11.112970
48.697655,-9.222768,-2.222821,25.407739,-12.914212,11.163698
48.724003,-9.179324,-2.240102,25.474247,-12.882634,11.257851
48.761614,-9.148379,-2.277776,25.534978,-12.869496,11.361931
48.803409,-9.132637,-2.332659,25.598334,-12.892484,11.447056
48.849508,-9.134277,-2.402237,25.688020,-12.941673,11.495636
48.898787,-9.151889,-2.483867,25.820022,-13.004032,11.507667
48.943272,-9.179222,-2.573581,25.984261,-13.066433,11.499021
48.970594,-9.207145,-2.665580,26.143376,-13.106046,11.488992
48.967710,-9.225640,-2.752532,26.253537,-13.114229,11.483291
48.927844,-9.228589,-2.826259,26.290194,-13.106708,11.462805
48.862351,-9.220243,-2.878138,26.257580,-13.099720,11.385297
48.805311,-9.216371,-2.899401,26.185558,-13.064895,11.200773
48.810161,-9.246557,-2.882673,26.124622,-12.875954,10.872563
48.937099,-9.353888,-2.824500,26.133058,-12.351469,10.401812
49.224590,-9.576857,-2.727545,26.249801,-11.426495,9.846152
49.656389,-9.918181,-2.602100,26.468307,-10.249615,9.304709
50.150755,-10.325578,-2.466071,26.729090,-9.073741,8.865220
50.590859,-10.706224,-2.341962,26.943708,-8.166360,8.572093
50.883985,-10.974063,-2.251418,27.057561,-7.670195,8.419753
51.007311,-11.096311,-2.210255,27.080640,-7.539391,8.354698
50.999644,-11.088825,-2.226309,27.059759,-7.605755,8.304750
50.919258,-10.982732,-2.299664,27.037325,-7.687283,8.210216
50.815536,-10.809087,-2.423269,27.028712,-7.679285,8.039758
50.724452,-10.610169,-2.583850,27.029039,-7.592523,7.786318
50.675807,-10.458340,-2.762903,27.045056,-7.480583,7.445259
50.692832,-10.446168,-2.937493,27.104658,-7.353739,7.009955
50.773899,-10.633395,-3.081167,27.222426,-7.162699,6.497754
50.880576,-10.995323,-3.165618,27.354695,-6.831014,5.972988
50.950512,-11.415673,-3.164258,27.394218,-6.305968,5.527260
50.918913,-11.729589,-3.058420,27.212114,-5.622090,5.210081
50.736388,-11.797749,-2.844610,26.721260,-4.952014,4.983088
50.379831,-11.555489,-2.539940,25.938358,-4.524171,4.759815
49.852146,-11.015688,-2.183492,24.989903,-4.442393,4.504228
49.172435,-10.245883,-1.832359,24.039223,-4.627915,4.292694
48.367855,-9.340208,-1.551097,23.203640,-4.920978,4.243609
47.480025,-8.404002,-1.395372,22.548831,-5.169212,4.417850
46.572583,-7.544985,-1.396683,22.109677,-5.315002,4.776723
45.727698,-6.850296,-1.554136,21.872462,-5.394296,5.212585
45.022024,-6.364089,-1.836113,21.764581,-5.476515,5.606162
44.499001,-6.079434,-2.188773,21.700024,-5.596567,5.865854
44.169756,-5.957265,-2.547541,21.645057,-5.717518,5.929134
44.035663,-5.963029,-2.848934,21.648599,-5.728552,5.746715
44.087547,-6.071271,-3.038770,21.779782,-5.538483,5.277469
44.280852,-6.235685,-3.076849,22.021369,-5.199586,4.494019
44.535718,-6.378106,-2.940580,22.275217,-4.867415,3.388363
44.775412,-6.427675,-2.628509,22.465207,-4.628832,1.997660
44.946373,-6.354018,-2.162373,22.567739,-4.454055,0.449042
45.007927,-6.161403,-1.585266,22.564910,-4.275405,-1.036697
44.927210,-5.861924,-0.953277,22.403615,-4.063301,-2.219043
44.681895,-5.459703,-0.322834,21.998786,-3.835933,-2.903559
44.263188,-4.961661,0.260318,21.268702,-3.632712,-2.956398
43.682424,-4.403264,0.767753,20.214496,-3.506170,-2.319165
42.982260,-3.867847,1.189548,18.977176,-3.524391,-1.037571
42.241519,-3.474056,1.529169,17.794317,-3.773191,0.724016
41.568273,-3.328971,1.795316,16.880606,-4.355908,2.695064
41.069932,-3.484472,1.994972,16.344326,-5.279822,4.537460
40.813184,-3.906380,2.131595,16.182079,-6.319226,5.916699
40.794045,-4.469291,2.205306,16.280337,-7.132830,6.580088
40.936133,-4.995545,2.213797,16.448575,-7.501318,6.436920
41.116418,-5.326322,2.156149,16.516860,-7.411294,5.604951
41.201896,-5.378058,2.038517,16.403533,-7.032000,4.405774
41.086665,-5.153126,1.877708,16.097733,-6.626821,3.225475
40.729090,-4.713172,1.700840,15.626361,-6.429528,2.278008
40.168622,-4.154268,1.541243,15.096676,-6.451163,1.561482
39.501504,-3.573080,1.432903,14.646239,-6.494275,0.978406
38.825084,-3.026128,1.404850,14.321676,-6.408299,0.435130
38.200924,-2.531541,1.476979,14.055423,-6.226313,-0.097082
37.650944,-2.090577,1.659919,13.741008,-6.059276,-0.584408
37.171986,-1.710365,1.957547,13.310447,-5.960471,-0.974659
36.754336,-1.421333,2.369736,12.777552,-5.910792,-1.225204
36.396242,-1.279474,2.893216,12.235766,-5.864983,-1.299523
36.110913,-1.348887,3.519491,11.813389,-5.814601,-1.169807
35.925229,-1.666278,4.231276,11.599901,-5.824377,-0.830165
35.863427,-2.209276,4.999340,11.573679,-5.995278,-0.285097
35.924962,-2.905059,5.782442,11.617030,-6.336621,0.460360
36.088394,-3.672046,6.532298,11.622863,-6.730001,1.373081
36.329399,-4.434989,7.200579,11.595619,-7.080005,2.350171
36.631863,-5.131325,7.746671,11.628626,-7.395315,3.246009
36.982978,-5.721861,8.146723,11.799499,-7.690968,3.948516
37.359117,-6.189856,8.402458,12.106506,-7.946464,4.411001
37.720686,-6.523746,8.545537,12.477438,-8.138293,4.633761
38.018581,-6.714123,8.633728,12.817349,-8.254751,4.632742
38.202197,-6.765218,8.739892,13.052231,-8.284001,4.420839
38.225017,-6.700202,8.936369,13.142323,-8.203673,4.014750
38.051929,-6.555198,9.278023,13.059987,-7.996276,3.466802
37.674814,-6.372866,9.788617,12.777448,-7.699891,2.901509
37.136944,-6.205568,10.454893,12.300511,-7.429996,2.519543
36.543842,-6.119644,11.230048,11.718768,-7.314769,2.534443
36.034252,-6.189208,12.044531,11.187889,-7.404359,3.052724
35.722930,-6.487443,12.819885,10.811427,-7.696259,3.983126
35.660456,-7.070279,13.482390,10.556035,-8.240597,5.086839
35.840334,-7.950377,13.975090,10.325268,-9.071433,6.148108
36.225142,-9.081318,14.266057,10.087062,-10.016979,7.063506
36.764253,-10.351881,14.353367,9.903972,-10.727553,7.837953
37.400379,-11.592260,14.265869,9.862920,-11.050123,8.551115
38.071901,-12.631743,14.054637,10.012602,-11.238000,9.295718
38.722851,-13.407150,13.775825,10.352338,-11.697173,10.121272
39.314223,-13.974704,13.475822,10.861197,-12.577749,10.999289
39.829305,-14.430617,13.184296,11.497114,-13.568210,11.822145
40.272388,-14.832053,12.916165,12.181570,-14.153034,12.469194
40.657278,-15.171811,12.679052,12.829214,-14.213925,12.910358
41.000447,-15.401849,12.477549,13.375918,-14.180267,13.209558
41.320983,-15.478574,12.312707,13.804057,-14.437446,13.450593
41.638080,-15.402355,12.180514,14.134322,-14.881152,13.688773
41.964245,-15.235514,12.072597,14.404455,-15.145583,13.929787
42.301870,-15.087589,11.980118,14.650820,-15.020675,14.145031
42.641170,-15.061587,11.898368,14.898838,-14.633436,14.300519
42.951336,-15.199539,11.827273,15.162210,-14.326186,14.367471
43.182969,-15.467744,11.767129,15.446627,-14.379496,14.320809
43.295763,-15.793522,11.712558,15.753531,-14.819233,14.159022
43.291868,-16.113751,11.648438,16.075883,-15.446940,13.955073
43.232093,-16.404737,11.548960,16.403326,-16.001978,13.860222
43.217732,-16.672262,11.380588,16.756432,-16.356495,14.018721
43.344946,-16.906388,11.108497,17.189057,-16.553138,14.478908
43.673162,-17.061509,10.701716,17.751637,-16.720884,15.155337
44.212275,-17.069711,10.136517,18.465146,-16.991676,15.857678
44.913931,-16.861197,9.399948,19.335174,-17.385280,16.395226
45.669400,-16.386960,8.495388,20.354186,-17.737527,16.661967
46.343185,-15.646544,7.449895,21.455256,-17.828622,16.609255
46.848668,-14.717918,6.318363,22.510727,-17.542088,16.209079
47.194883,-13.770543,5.175670,23.406281,-16.904223,15.493409
47.450339,-12.987739,4.100829,24.083675,-16.090271,14.603319
47.678482,-12.481077,3.161660,24.518683,-15.355266,13.768239
47.913049,-12.272412,2.406540,24.733139,-14.896625,13.158694
48.163954,-12.321714,1.863009,24.774498,-14.701889,12.822745
48.407063,-12.542512,1.538351,24.671992,-14.590594,12.732011
48.567372,-12.793986,1.417994,24.431237,-14.381063,12.818011
48.544938,-12.909294,1.463041,24.070272,-13.975565,12.956387
48.291749,-12.781022,1.611273,23.613285,-13.369186,12.990442
47.849505,-12.406873,1.787646,23.099031,-12.604402,12.801288
47.305293,-11.849263,1.921623,22.606128,-11.683433,12.396548
46.716641,-11.169526,1.960519,22.195209,-10.732991,11.926603
46.057177,-10.389716,1.874525,21.872497,-10.092613,11.631220
45.226545,-9.507963,1.655049,21.627152,-10.001581,11.743805
44.124466,-8.540074,1.311683,21.478888,-10.382143,12.390755
42.742754,-7.541381,0.870768,21.489727,-10.988563,13.521249
41.226478,-6.615573,0.373710,21.730903,-11.656281,14.884998
39.860694,-5.897157,-0.128126,22.233875,-12.367057,16.121557
38.968644,-5.484379,-0.583506,22.975786,-13.106686,16.961226
38.775429,-5.391106,-0.954165,23.859848,-13.726626,17.352093
39.312608,-5.565564,-1.224660,24.741362,-14.017024,17.432399
40.406844,-5.918489,-1.403109,25.499813,-13.934211,17.369278
41.759947,-6.335907,-1.513715,26.048609,-13.578240,17.222689
43.072879,-6.711029,-1.588019,26.316179,-13.011623,16.921983
44.153497,-6.976366,-1.655565,26.282977,-12.216368,16.348566
44.972105,-7.120297,-1.735979,26.034500,-11.254991,15.449046
45.632705,-7.203212,-1.836652,25.728828,-10.325591,14.296760
46.276722,-7.343328,-1.955748,25.501933,-9.554526,13.076725
46.987641,-7.652399,-2.085953,25.451473,-8.959920,12.014066
47.763261,-8.165766,-2.215631,25.637115,-8.436511,11.259842
48.543564,-8.815710,-2.326828,26.055114,-7.819926,10.817521
49.236438,-9.460941,-2.391461,26.581865,-7.082996,10.558373
49.742788,-9.943530,-2.370117,26.996226,-6.402003,10.327671
49.986574,-10.146723,-2.217249,27.140135,-5.927391,10.081921
49.930322,-10.017899,-1.892114,27.014785,-5.675139,9.925799
49.567544,-9.541630,-1.372295,26.750511,-5.612992,10.083016
48.918408,-8.711963,-0.666078,26.519910,-5.706238,10.806037
48.047304,-7.564450,0.180364,26.459428,-5.897494,12.215890
47.084011,-6.243003,1.084658,26.611035,-6.125329,14.143427
46.204896,-5.002669,1.941626,26.907509,-6.358360,16.130253
45.566267,-4.102823,2.646670,27.230415,-6.580363,17.667174
45.236231,-3.688905,3.120623,27.468012,-6.735927,18.479266
45.173442,-3.747036,3.326131,27.549068,-6.758931,18.615254
45.260699,-4.145091,3.271897,27.452249,-6.645721,18.329540
45.360730,-4.716078,3.008524,27.186201,-6.383101,17.905074
45.367006,-5.334068,2.619665,26.776918,-5.962053,17.539408
