cam1_X,cam1_Y,cam2_X,cam2_Y
847.851966,636.991859,444.796229,569.403619
864.079130,640.642971,465.790123,571.685564
911.949265,651.190628,525.577082,577.618621
928.176430,655.247419,546.570977,578.987788
846.229249,619.953336,450.272897,549.778892
862.456414,623.198769,469.897624,551.148059
911.137907,634.152105,529.228195,556.624727
926.959392,637.803217,550.678478,558.906672
830.002085,611.434075,463.964567,539.281945
939.129766,610.217037,547.027366,528.784998
828.379368,593.989873,467.159290,521.482774
845.012212,596.423948,487.696795,523.764719
861.645056,600.886418,508.690689,524.221108
937.507049,592.367156,553.416812,508.703882
855.965548,557.478753,457.118732,480.864153
873.004071,561.535544,477.199848,483.146098
886.797160,564.375298,497.280964,484.058876
890.042593,581.413820,526.489860,496.837768
936.290012,576.139992,557.980702,488.622766
854.748511,539.628872,462.595400,461.239426
869.758638,543.279984,482.676516,463.521371
884.768765,547.336775,502.301243,464.890538
934.667296,558.290111,563.457370,468.998039
