pt1_dltres,pt2_dltres
6.166290,0.217143
4.353841,0.448932
3.930549,1.101069
2.373456,1.669568
0.621453,0.307659
2.331184,0.124492
1.931677,1.804653
3.211530,1.977386
3.628643,2.898918
1.761234,1.581233
1.147254,2.086643
2.175625,1.791539
0.747428,1.658293
0.809985,1.801938
0.852339,1.973698
2.306128,1.798916
2.353948,1.807640
2.189926,1.194923
2.074738,1.401096
2.184714,1.301967
1.871142,2.251628
1.503643,2.898763
1.295798,2.598332
0.341831,3.835378
0.137636,4.525590
4.225100,5.446673
2.269583,6.496263
2.227529,7.723428
2.281472,7.879423
2.265197,6.867078
1.283625,8.010573
1.168100,8.389503
1.928214,11.171110
2.769532,10.180418
1.313702,10.069619
0.341350,8.469629
1.760029,7.479407
2.190427,7.176855
3.404412,6.630263
2.617762,7.208219
2.772206,8.158034
2.663017,8.679398
2.271966,5.581411
2.949975,6.383187
2.289842,7.523662
1.903171,7.508375
1.832308,7.601856
1.754007,8.269576
1.517180,7.478416
1.499870,6.411759
1.224810,6.510264
2.769982,7.390021
2.810182,7.848409
2.450786,7.994692
1.649373,4.296910
1.152518,4.282807
1.110947,3.746819
1.869309,4.501062
1.008199,4.631145
0.952236,4.621859
0.533886,4.481134
0.095371,5.492892
0.189513,4.622698
0.387605,4.782254
0.744620,4.713145
0.769705,4.276505
0.719494,4.716244
0.014791,4.166181
0.307133,4.722729
0.414934,4.124380
1.076514,5.818172
1.105043,5.191948
1.228071,4.969600
2.301274,4.576358
2.920744,3.995801
0.046980,4.809125
1.513700,4.198116
1.771438,4.752819
1.520862,8.765492
2.621271,8.839461
0.972990,8.549234
0.377272,8.299735
0.382325,8.918888
1.065822,9.752466
1.374896,8.158660
1.535362,7.215317
2.172490,7.768783
2.741817,7.271696
1.854528,7.398701
1.761531,4.588088
0.639105,3.831253
0.163818,5.452657
0.006545,5.186997
0.668051,6.052751
2.207686,6.935924
2.041758,6.498475
0.260157,6.047256
0.640818,5.015136
1.519775,5.205203
3.804635,5.939292
5.043127,6.557570
3.793526,6.213621
6.418727,5.528214
4.626878,5.305412
4.165390,5.078043
3.299719,5.740700
2.863477,6.768009
2.453081,6.762739
1.786594,6.846931
1.080066,7.198041
0.815773,6.094179
0.682556,5.591101
0.017888,6.600320
2.077798,5.769212
1.474018,3.784295
1.592141,2.877493
1.278542,1.215219
1.333637,2.210854
0.605253,3.993700
0.083422,2.290708
0.317113,0.189141
0.459659,0.594228
0.520516,1.026956
1.598327,1.615375
2.421233,2.419229
1.643309,5.482167
0.406294,7.447652
0.724023,6.171255
0.360920,7.285550
0.730966,11.261593
0.824066,10.172622
