cam1_X,cam1_Y,cam2_X,cam2_Y
553.125123,519.259472,444.194874,465.740755
573.684737,522.321542,466.316453,467.524754
632.738947,532.382630,531.967591,471.092750
651.111367,535.882138,553.018771,472.876749
550.063053,498.699858,449.190070,445.403175
569.310351,502.199367,472.738847,445.403175
630.114315,511.823016,537.676385,449.684771
648.486736,516.197402,559.441165,451.468769
660.735016,481.202314,555.516368,416.502402
529.940877,472.016104,470.954849,415.075204
550.500491,475.078174,493.076428,417.572801
568.872912,478.140244,515.198007,418.643200
656.798069,461.517578,561.938762,395.094423
555.312316,424.772736,457.753262,367.977649
575.871930,429.147122,479.518041,369.404847
593.369473,430.896876,501.282820,371.545645
653.735999,441.395402,568.004356,374.756842
552.250246,404.650561,462.391657,347.996868
572.809859,406.837754,484.156436,349.067267
592.494596,411.212140,506.634815,349.424066
650.236490,420.835789,573.713151,353.348863
