cam1_X,cam1_Y,cam2_X,cam2_Y
551.546931,519.344765,443.744440,467.152105
573.797700,522.899586,465.651112,467.963463
631.987298,532.483755,531.371128,472.020254
651.840219,537.275839,553.277800,472.831612
551.206445,500.308330,450.235306,444.434075
570.374783,502.362080,472.141978,446.868149
629.248964,511.261666,537.050636,450.924940
650.471052,514.684584,558.957308,450.924940
534.776441,488.670410,469.911040,432.372518
660.739805,482.509159,556.032036,417.191951
532.038107,471.555823,472.852793,416.711146
549.837278,474.294157,494.008208,417.672756
568.321032,477.717074,515.644427,420.557585
655.947720,462.656237,562.282499,395.074927
555.998529,426.373312,457.467037,369.111464
576.536034,428.427062,478.622452,370.073074
595.019789,431.165396,500.739476,372.957903
601.865624,451.702901,532.953402,385.458830
653.209386,440.749565,568.052158,372.477098
553.944779,405.151223,463.717501,346.513635
574.482284,408.574141,487.276939,348.917659
592.966038,410.627891,507.951549,349.879269
651.840219,421.581227,573.341012,353.244903
