pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
896.811873,624.055221,513.966038,546.349378,872.166867,589.826046,450.299773,523.073539
896.970000,624.000000,513.910000,545.990000,872.010000,590.040000,448.930606,523.073539
896.950000,624.000000,513.910000,545.990000,872.100000,590.040000,448.930606,523.073539
897.020000,624.000000,514.060000,546.000000,872.170000,590.010000,449.615189,518.281455
897.000000,624.000000,514.120000,546.010000,872.250000,590.010000,450.080000,517.980000
897.110000,624.000000,514.130000,546.010000,872.170000,590.000000,450.180000,517.960000
897.020000,623.990000,513.960000,545.980000,872.080000,590.010000,450.060000,518.000000
897.000000,623.980000,513.970000,545.980000,872.050000,589.970000,450.070000,517.940000
897.020000,623.980000,514.120000,545.990000,871.950000,589.960000,450.060000,517.940000
896.960000,623.980000,513.920000,545.980000,871.950000,589.960000,450.030000,517.950000
897.000000,623.990000,513.960000,545.990000,871.950000,589.980000,449.980000,517.970000
897.090000,624.000000,514.130000,546.010000,872.030000,589.990000,449.970000,517.990000
897.040000,624.000000,513.990000,546.000000,872.030000,589.990000,449.990000,517.980000
897.000000,623.990000,514.000000,545.990000,871.930000,589.970000,450.010000,517.960000
897.070000,623.990000,514.040000,546.000000,871.900000,589.960000,450.000000,517.950000
897.040000,623.990000,513.990000,545.990000,871.910000,589.960000,450.030000,517.950000
896.960000,623.980000,513.760000,545.980000,871.800000,589.960000,449.950000,517.960000
896.930000,623.980000,513.780000,545.980000,871.960000,589.960000,450.080000,517.940000
896.930000,623.980000,513.740000,545.980000,871.980000,589.980000,450.020000,517.960000
896.870000,623.980000,513.680000,545.980000,872.030000,589.970000,450.120000,517.950000
896.910000,623.970000,513.830000,545.970000,872.120000,589.990000,450.040000,517.960000
896.880000,623.970000,513.700000,545.970000,872.220000,589.990000,450.050000,517.960000
896.980000,623.970000,513.810000,545.970000,872.220000,590.010000,449.940000,517.990000
896.970000,623.970000,513.710000,545.980000,872.330000,590.060000,449.820000,518.020000
896.950000,623.970000,513.600000,545.980000,872.320000,590.050000,449.850000,518.020000
896.950000,623.960000,513.510000,545.980000,872.400000,590.020000,449.980000,517.990000
896.970000,623.940000,513.440000,545.990000,872.650000,589.980000,450.150000,517.970000
896.980000,623.930000,513.390000,545.990000,873.260000,590.010000,450.180000,517.990000
896.990000,623.930000,513.500000,545.990000,873.920000,590.080000,450.020000,518.020000
897.050000,623.930000,513.900000,545.960000,874.440000,590.120000,450.160000,516.000000
896.890000,623.960000,516.019789,547.033962,875.170000,588.040000,450.100000,515.970000
896.850000,623.990000,515.870000,547.030000,875.650000,587.860000,450.340000,515.990000
897.080000,623.940000,516.300000,547.000000,872.851451,595.987298,450.850000,517.900000
898.980000,623.940000,522.865624,544.295628,870.980000,600.080000,451.310000,521.920000
901.380000,623.980000,522.865624,544.295628,869.140000,602.010000,452.330000,525.970000
903.000000,621.930000,524.570000,544.000000,867.470000,604.020000,452.960000,529.990000
903.660000,621.910000,525.680000,544.000000,866.470000,605.990000,453.722690,534.026875
904.120000,621.940000,525.940000,542.040000,865.530000,606.000000,452.353523,536.765209
904.700000,621.960000,526.110000,542.010000,864.860000,608.010000,452.353523,536.765209
904.780000,621.970000,526.290000,542.010000,864.220000,608.030000,452.040000,536.900000
904.960000,621.980000,526.670000,542.010000,864.010000,608.010000,452.100000,536.840000
905.000000,621.980000,527.090000,542.000000,864.040000,608.000000,452.070000,536.840000
904.420000,621.970000,526.120000,542.020000,864.440000,607.980000,451.800000,536.950000
902.220000,623.950000,522.865624,544.295628,866.690199,604.886883,450.984356,533.342292
899.490000,626.000000,519.890000,546.000000,869.830000,600.990000,449.615189,531.973125
896.190000,627.990000,517.000000,548.030000,871.530000,598.900000,449.615189,528.550207
893.370000,629.960000,514.670000,550.010000,874.090000,596.940000,449.615189,525.811873
892.070000,629.900000,513.710000,551.960000,875.840000,594.980000,450.140000,523.940000
891.540000,629.890000,513.210000,552.010000,876.860000,594.930000,450.870000,521.990000
891.140000,629.980000,512.990000,552.000000,877.180000,594.910000,451.420000,522.000000
889.180000,631.960000,512.110000,552.010000,878.328119,594.618131,449.615189,520.335205
889.120000,631.920000,511.470000,552.020000,878.320000,594.980000,450.010000,519.970000
889.770000,631.910000,511.710000,552.020000,878.680000,595.010000,450.400000,519.950000
889.870000,631.900000,512.010000,552.030000,878.820000,595.000000,450.790000,519.990000
889.280000,631.780000,511.830000,552.040000,878.720000,594.990000,450.660000,519.990000
889.030000,631.780000,511.650000,552.050000,878.420000,594.980000,450.310000,519.980000
889.110000,631.700000,511.250000,552.070000,877.940000,594.930000,450.030000,521.970000
891.335205,632.954807,511.980000,552.070000,876.980000,596.960000,449.850000,524.020000
892.360000,633.010000,513.420000,552.060000,875.780000,598.990000,449.560000,526.020000
893.660000,633.010000,515.030000,552.040000,874.710000,600.950000,449.040000,528.000000
894.900000,633.020000,516.390000,552.020000,874.420000,601.000000,448.840000,530.010000
895.310000,633.000000,516.720000,552.000000,872.880000,602.960000,448.280000,532.010000
895.890000,633.020000,516.780000,552.010000,871.370000,605.000000,447.880000,534.010000
896.000000,633.030000,516.930000,552.010000,870.750000,604.990000,446.876855,532.657708
896.360000,633.080000,517.190000,552.000000,870.170000,604.980000,446.630000,532.910000
896.460000,633.100000,517.190000,552.000000,869.940000,604.970000,446.260000,532.920000
896.680000,633.140000,517.370000,552.000000,869.900000,604.970000,445.990000,535.040000
896.290000,633.110000,517.200000,552.000000,869.760000,604.980000,446.040000,532.920000
895.670000,633.030000,516.120000,552.010000,869.610000,604.990000,445.770000,532.950000
894.960000,633.000000,514.930000,552.040000,869.740000,605.000000,445.270000,533.050000
893.440000,632.970000,513.840000,553.960000,870.630000,602.990000,444.940000,531.120000
891.020000,635.000000,512.500000,556.020000,871.280000,600.990000,444.860000,529.080000
889.360000,634.970000,510.710000,556.000000,871.520000,600.990000,444.860000,526.970000
887.910000,637.110000,508.980000,556.020000,871.600000,601.030000,444.700000,527.010000
886.310000,637.050000,507.430000,556.030000,871.340000,601.030000,444.250000,527.040000
885.240000,637.020000,507.690000,557.950000,870.710000,600.950000,443.910000,527.060000
884.310000,636.980000,506.790000,558.010000,870.200000,600.940000,443.340000,527.060000
883.940000,636.960000,506.020000,557.970000,870.060000,600.970000,442.860000,527.060000
883.200000,639.100000,505.490000,557.980000,870.090000,601.000000,442.130000,527.030000
883.030000,639.070000,504.870000,557.980000,869.890000,601.030000,441.400000,527.020000
883.170000,639.050000,504.410000,558.000000,869.470000,601.020000,440.960000,527.020000
883.170000,639.040000,503.950000,558.010000,868.920000,601.020000,440.100000,527.000000
883.620000,639.020000,505.030000,559.950000,868.450000,601.020000,439.630000,526.990000
884.070000,639.030000,505.490000,560.000000,867.940000,601.010000,439.400000,526.930000
884.960000,639.040000,505.860000,559.960000,867.420000,601.000000,439.000000,529.010000
886.450000,639.000000,506.660000,559.950000,866.020000,602.970000,438.970000,531.030000
888.680000,637.010000,507.590000,558.000000,864.920000,605.000000,439.280000,533.030000
890.440000,637.040000,508.330000,556.050000,863.720000,607.010000,440.010000,535.020000
892.130000,637.120000,510.310000,555.980000,861.560000,609.070000,440.610000,536.950000
893.820000,635.020000,512.130000,555.990000,860.800000,609.040000,440.880000,538.990000
895.540000,635.080000,514.160000,555.960000,857.790614,608.994384,438.661853,542.241877
896.450000,635.000000,514.680000,554.030000,857.050000,611.000000,440.715604,542.241877
896.730000,633.050000,515.580000,554.040000,856.910000,611.020000,441.400187,547.718545
896.870000,633.000000,515.690000,553.990000,857.030000,611.000000,441.400187,547.718545
897.260000,633.060000,516.160000,553.960000,856.940000,611.010000,441.400187,547.718545
898.110000,631.010000,516.040000,552.010000,856.550000,611.000000,441.400187,547.718545
899.030000,630.990000,515.280000,550.020000,856.050000,610.980000,441.400187,547.033962
899.630000,631.060000,516.019789,551.141463,855.880000,610.970000,441.400187,547.033962
900.140000,631.100000,516.270000,551.030000,855.640000,610.970000,440.031020,547.033962
900.450000,631.120000,516.300000,551.030000,855.370000,610.950000,440.031020,547.033962
900.880000,629.030000,516.560000,551.030000,855.380000,610.950000,440.031020,547.718545
901.640000,629.020000,516.190000,549.010000,855.260000,610.930000,439.346437,548.403129
902.170000,629.060000,516.680000,549.030000,855.590000,610.940000,439.346437,548.403129
903.070000,629.110000,517.670000,549.030000,855.840000,610.950000,439.346437,548.403129
903.550000,627.050000,517.460000,547.040000,856.030000,610.970000,439.346437,548.403129
904.070000,627.070000,517.780000,547.050000,856.310000,610.990000,439.346437,548.403129
904.930000,627.120000,517.500000,545.000000,856.530000,609.000000,437.977270,547.033962
904.950000,625.040000,517.880000,545.020000,856.920000,608.910000,440.031020,544.295628
905.670000,625.070000,518.630000,545.060000,857.320000,608.960000,440.031020,544.295628
906.280000,625.110000,519.430000,545.000000,857.960000,609.000000,440.031020,544.295628
906.020000,623.010000,518.870000,543.080000,857.500000,606.850000,440.031020,544.295628
906.880000,623.040000,519.580000,543.070000,857.620000,606.880000,440.031020,544.295628
907.600000,623.090000,519.470000,541.070000,858.000000,606.970000,440.031020,544.295628
907.440000,621.000000,519.900000,541.110000,857.800000,604.880000,440.715604,543.611044
907.770000,621.010000,520.320000,541.110000,857.770000,604.800000,440.715604,543.611044
908.300000,621.070000,519.810000,539.070000,857.800000,604.830000,440.715604,543.611044
909.030000,621.090000,519.980000,539.120000,857.910000,604.940000,439.346437,542.241877
909.050000,619.040000,519.630000,537.050000,858.140000,605.000000,439.346437,542.241877
909.770000,619.100000,519.870000,537.150000,858.350000,605.000000,437.292686,541.557294
909.870000,619.100000,520.190000,537.150000,858.360000,604.990000,437.292686,541.557294
910.040000,619.100000,520.300000,537.170000,858.140000,604.990000,437.292686,541.557294
910.140000,619.100000,520.780000,537.180000,858.050000,604.990000,435.923519,538.818960
910.090000,619.100000,521.020000,537.170000,857.920000,604.970000,438.661853,540.872710
909.860000,616.990000,521.970000,537.180000,857.870000,604.970000,438.661853,542.926461
909.940000,616.970000,522.580000,537.180000,857.690000,602.930000,438.661853,542.926461
909.970000,616.970000,522.700000,537.170000,857.650000,602.870000,438.661853,542.926461
