pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
46.998246,-4.576094,32.116279,28.047390,-5.202017,50.226192
46.967222,-4.577281,32.188607,27.991639,-5.187989,50.128326
46.935239,-4.579425,32.262068,27.934126,-5.174640,50.028210
46.902310,-4.582525,32.336553,27.874859,-5.161970,49.925854
46.868449,-4.586579,32.411951,27.813848,-5.149978,49.821269
46.833668,-4.591586,32.488153,27.751099,-5.138662,49.714468
46.797980,-4.597543,32.565049,27.686622,-5.128021,49.605460
46.761396,-4.604449,32.642527,27.620426,-5.118055,49.494259
46.723929,-4.612302,32.720478,27.552519,-5.108763,49.380876
46.685591,-4.621099,32.798790,27.482910,-5.100142,49.265324
46.646391,-4.630840,32.877352,27.411608,-5.092193,49.147615
46.606342,-4.641521,32.956055,27.338623,-5.084914,49.027763
46.565453,-4.653141,33.034787,27.263964,-5.078303,48.905781
46.523734,-4.665697,33.113439,27.187641,-5.072360,48.781683
46.481194,-4.679188,33.191900,27.109663,-5.067083,48.655482
46.437841,-4.693611,33.270063,27.030039,-5.062471,48.527193
46.393685,-4.708964,33.347818,26.948781,-5.058523,48.396830
46.348731,-4.725244,33.425057,26.865898,-5.055238,48.264409
46.302986,-4.742449,33.501675,26.781400,-5.052613,48.129945
46.256457,-4.760576,33.577566,26.695298,-5.050649,47.993454
46.209148,-4.779623,33.652623,26.607602,-5.049343,47.854950
46.161063,-4.799587,33.726746,26.518323,-5.048694,47.714452
46.112206,-4.820466,33.799830,26.427472,-5.048700,47.571975
46.062578,-4.842256,33.871776,26.335059,-5.049360,47.427536
46.012182,-4.864955,33.942484,26.241095,-5.050674,47.281153
45.961018,-4.888560,34.011857,26.145592,-5.052638,47.132843
45.909084,-4.913068,34.079799,26.048561,-5.055252,46.982625
45.856380,-4.938475,34.146217,25.950014,-5.058514,46.830517
45.802903,-4.964780,34.211018,25.849962,-5.062423,46.676538
45.748648,-4.991978,34.274114,25.748416,-5.066977,46.520707
45.693611,-5.020067,34.335416,25.645388,-5.072174,46.363043
45.637786,-5.049042,34.394839,25.540891,-5.078012,46.203566
45.581165,-5.078901,34.452301,25.434937,-5.084491,46.042298
45.523740,-5.109640,34.507721,25.327537,-5.091608,45.879258
45.465501,-5.141256,34.561020,25.218704,-5.099361,45.714467
45.406438,-5.173745,34.612124,25.108450,-5.107750,45.547947
45.346538,-5.207103,34.660960,24.996789,-5.116772,45.379720
45.285789,-5.241327,34.707456,24.883731,-5.126425,45.209808
45.224177,-5.276412,34.751547,24.769292,-5.136707,45.038234
45.161685,-5.312355,34.793166,24.653482,-5.147617,44.865020
45.098298,-5.349151,34.832253,24.536316,-5.159153,44.690190
