pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
48.355549,-13.961334,19.152451,25.338885,-16.775506,26.263153
48.040914,-13.675949,18.705003,25.335104,-16.122897,27.016923
47.960969,-13.058756,17.684636,26.243293,-16.133349,26.986817
47.286541,-12.755013,15.547699,26.601155,-15.065160,27.192828
47.537549,-11.664294,13.383555,28.286770,-13.335870,28.787098
48.924824,-10.917742,12.832449,29.497620,-12.434093,28.655448
49.827506,-10.750206,12.695627,30.957134,-12.351416,27.979589
49.685203,-11.507847,14.277315,31.431232,-12.652410,28.490899
50.211030,-12.282792,14.977196,31.282006,-13.626112,29.959718
50.895421,-13.445928,15.495016,31.577713,-13.908894,30.193711
51.363489,-14.359251,15.855324,31.759159,-14.106275,30.112924
51.583594,-15.055448,16.280973,31.925784,-14.746056,30.465066
51.656927,-15.561066,16.687111,31.965358,-15.430818,30.997122
51.418349,-15.834919,17.137861,32.134140,-15.653715,31.306560
51.650392,-15.470479,16.588560,32.355553,-15.527139,31.376917
51.655696,-15.171444,16.160631,32.601164,-15.505613,31.290415
51.327458,-14.822598,15.581818,32.817390,-15.423017,31.571132
50.832324,-14.381298,14.728346,33.303797,-15.010004,31.836892
50.578962,-14.071654,13.346881,34.945584,-14.506222,30.333296
51.076497,-13.779771,12.749830,35.610638,-13.735261,30.308251
51.801568,-13.571656,12.490034,36.189355,-13.375490,30.750454
52.354213,-13.664124,12.328452,36.776413,-14.013603,30.777520
52.977680,-13.866837,12.283123,36.820083,-14.235371,30.471229
52.811359,-14.807737,13.168938,36.568119,-14.457545,30.153322
52.730312,-15.506851,14.012207,36.157222,-14.768889,30.116980
52.708154,-15.961148,14.774180,35.667055,-15.111766,29.968780
52.717648,-15.997610,15.404712,35.240632,-15.269432,30.162285
52.640572,-15.974188,15.859056,34.956807,-15.450351,30.314711
52.781594,-16.133758,15.840576,34.888982,-15.253088,30.270523
52.609373,-16.020224,16.017564,34.663094,-15.274760,30.169420
52.311284,-15.701487,16.216375,34.332567,-15.462245,30.048712
52.342722,-15.606859,15.967477,34.197828,-15.237306,29.943159
52.360276,-15.498960,15.523878,34.205147,-14.890322,29.729430
52.109027,-15.139003,15.122489,34.209903,-14.565795,29.598521
51.622571,-14.579807,14.745139,34.252612,-14.274823,29.265529
51.104446,-13.805460,13.838646,34.077650,-13.774659,28.863539
51.503537,-13.228716,12.817634,34.012943,-13.146379,28.665242
52.304186,-12.952618,12.791455,34.433027,-12.954237,28.852479
52.381480,-13.679819,13.673045,34.737498,-13.478670,29.216927
52.628950,-14.275282,14.117147,34.805308,-14.047725,29.506791
52.937856,-14.917384,14.491460,34.793741,-14.328601,29.552583
53.099350,-15.560972,14.943257,34.671118,-14.608257,29.424340
52.867483,-16.010346,15.458798,34.153190,-15.075107,29.704913
52.593496,-16.350254,15.969172,33.752708,-15.583110,29.881720
52.729855,-16.628484,16.177370,33.735576,-15.562746,29.805994
52.793578,-16.571400,16.159219,33.756153,-15.326346,29.611659
52.547905,-16.201086,16.210155,33.773759,-15.240732,29.378870
52.526459,-15.914224,15.879403,33.821803,-14.887197,29.251447
52.422343,-15.581666,15.298911,33.908826,-14.464189,29.098020
52.334023,-14.918912,14.561422,34.117125,-14.250634,28.943679
52.128834,-14.276713,13.380227,34.092080,-13.127206,28.890110
52.102247,-13.805148,11.820047,34.287274,-12.627354,28.577912
52.534711,-13.767518,11.329921,34.945165,-12.313370,28.752560
52.805777,-14.023890,11.985476,35.597421,-12.369648,28.799738
53.058386,-14.383974,12.580120,35.771968,-12.737057,29.031874
53.279445,-14.715521,13.071425,35.703750,-13.043045,29.250878
53.423663,-15.168481,13.363204,35.649213,-13.297118,29.311878
53.554112,-15.597820,13.561368,35.600683,-13.554870,29.238650
53.367067,-15.849177,13.799496,35.577458,-13.877111,29.362649
53.257760,-15.984266,13.925350,35.908828,-14.021565,29.664732
53.309442,-15.951608,13.827318,36.425073,-13.901306,29.810698
53.240128,-15.810947,13.517944,37.115116,-14.300895,29.971816
53.034583,-15.467050,13.090403,37.627274,-14.443884,30.421536
52.346537,-14.252116,11.778459,38.398188,-14.062131,31.097376
51.665666,-13.406407,10.307882,39.034332,-13.467490,31.152461
51.770692,-13.132467,9.118904,39.843709,-12.696084,30.733619
52.925337,-13.019297,9.410586,41.008312,-12.666694,30.484819
53.525737,-13.054969,9.685748,41.692758,-12.735560,30.663990
53.678153,-13.197035,10.142171,41.797858,-12.806042,30.751432
53.468562,-13.424442,10.407144,41.715330,-12.900317,30.903568
53.371191,-13.811102,10.455022,41.779747,-13.173965,31.006627
53.378752,-14.171304,10.557908,41.838466,-13.605439,31.144092
53.325622,-14.427930,10.831088,41.793854,-13.953811,31.311915
53.472464,-14.649551,11.053174,41.599999,-13.781827,31.190133
53.486555,-14.727325,11.084026,41.173687,-12.884427,30.165744
53.541611,-14.040442,9.898829,40.403929,-11.995949,29.217893
53.330674,-13.471133,8.645137,39.462745,-11.102136,28.133473
53.760631,-13.676374,7.326223,39.448787,-10.045108,27.197585
54.240039,-13.637851,7.511029,40.435039,-9.662177,26.884267
54.385131,-13.525863,7.911487,41.078094,-9.802863,27.218971
54.755762,-13.713974,7.913598,41.302275,-9.897100,27.277179
55.132063,-14.160941,8.025900,41.231566,-10.079322,27.188844
55.431770,-14.610105,8.292792,41.166951,-10.496832,27.344141
55.674050,-15.224638,8.653944,41.110641,-10.884483,27.573591
55.931411,-15.820077,9.120021,41.188606,-11.218852,27.769270
55.866495,-16.442233,8.897461,41.242967,-11.228078,27.630386
55.780778,-16.914248,8.992563,41.034133,-11.199461,26.931417
55.863770,-16.400020,8.787498,40.461827,-11.135832,26.060828
55.740234,-15.888447,8.563484,38.844324,-9.905704,23.240723
55.752200,-14.804607,8.854934,38.069193,-9.229798,22.145286
55.506591,-14.230081,8.792060,37.974389,-8.997014,22.685897
