pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.564426,0.550345,0.795857,1.011732,1.087673,1.505737,NaN,NaN,NaN
0.492296,0.545748,0.774349,0.993034,0.977338,1.448896,NaN,NaN,NaN
0.499919,0.537126,0.826389,0.952059,1.004183,1.397779,NaN,NaN,NaN
0.528624,0.608692,0.814058,0.910344,1.013585,1.366371,NaN,NaN,NaN
0.527259,0.604776,0.853744,0.937097,0.959845,1.391356,NaN,NaN,NaN
0.505852,0.592879,0.805763,0.887705,1.011937,1.478605,NaN,NaN,NaN
0.545313,0.602231,0.806547,0.953840,0.998987,1.326914,NaN,NaN,NaN
0.553222,0.551675,0.792060,0.891941,1.041658,1.393053,NaN,NaN,NaN
0.522193,0.586682,0.816162,0.913107,1.055431,1.540586,NaN,NaN,NaN
0.527250,0.575827,0.895248,0.985690,1.071892,1.458542,NaN,NaN,NaN
0.522207,0.590113,0.843059,0.881367,1.087135,1.447686,NaN,NaN,NaN
0.529615,0.560036,0.743816,0.952537,1.121030,1.551817,NaN,NaN,NaN
0.565799,0.569249,0.816103,0.897859,0.987860,1.366013,NaN,NaN,NaN
0.545496,0.524897,0.821332,0.976404,1.055117,1.543689,NaN,NaN,NaN
0.565856,0.537585,0.859634,0.932514,1.019042,1.434166,NaN,NaN,NaN
0.519676,0.561399,0.911026,0.906591,1.019073,1.384462,NaN,NaN,NaN
0.513885,0.563014,0.865666,0.933282,0.962385,1.442483,NaN,NaN,NaN
0.514863,0.599499,0.804094,0.914606,1.040723,1.444775,NaN,NaN,NaN
0.537455,0.509544,0.809135,0.988443,0.976954,1.452934,NaN,NaN,NaN
0.497902,0.556692,0.782206,0.973445,1.079334,1.478398,NaN,NaN,NaN
0.522925,0.559557,0.823156,0.979981,1.067804,1.569857,NaN,NaN,NaN
0.495578,0.528602,0.767109,0.940022,1.090568,1.449769,NaN,NaN,NaN
0.565015,0.567615,0.722826,0.945997,1.064419,1.504195,NaN,NaN,NaN
0.498519,0.553584,0.860225,0.962952,1.085510,1.579185,NaN,NaN,NaN
0.537938,0.595742,0.814238,0.951539,0.987447,1.388118,NaN,NaN,NaN
0.510696,0.570546,0.760899,0.925103,1.070698,1.400556,NaN,NaN,NaN
0.536879,0.557931,0.788549,0.971860,1.050532,1.491504,NaN,NaN,NaN
0.501341,0.549995,0.731897,0.936354,0.981773,1.446606,NaN,NaN,NaN
0.544243,0.586304,0.863076,0.870411,1.071674,1.385738,NaN,NaN,NaN
0.511113,0.587650,0.824349,0.948040,1.030031,1.300057,NaN,NaN,NaN
0.497196,0.550424,0.821440,0.919989,1.022058,1.448479,NaN,NaN,NaN
0.550715,0.558426,0.764826,0.830497,1.099135,1.415448,NaN,NaN,NaN
0.534957,0.599963,0.856438,0.940469,1.047335,1.345216,NaN,NaN,NaN
0.526098,0.572948,0.820633,1.001241,1.020249,1.355590,NaN,NaN,NaN
0.520191,0.583965,0.803350,0.894420,1.043697,1.489944,NaN,NaN,NaN
0.532663,0.553766,0.765289,1.002174,1.040485,1.352903,NaN,NaN,NaN
0.524073,0.544369,0.733563,1.036498,1.059560,1.422827,NaN,NaN,NaN
0.512660,0.563764,0.806538,0.914040,0.956625,1.465769,NaN,NaN,NaN
0.573853,0.578880,0.765900,0.974156,0.961082,1.433713,NaN,NaN,NaN
0.555324,0.556427,0.822425,1.019073,1.002261,1.507090,NaN,NaN,NaN
0.511539,0.565783,0.805901,0.904937,0.938513,1.437654,NaN,NaN,NaN
0.491101,0.552025,0.822300,0.943334,1.062012,1.538692,NaN,NaN,NaN
0.564796,0.600486,0.823448,0.957692,1.032090,1.498927,NaN,NaN,NaN
0.535498,0.548420,0.836483,0.879228,1.068765,1.390195,NaN,NaN,NaN
0.500449,0.561583,0.809872,0.923861,1.001526,1.440508,NaN,NaN,NaN
0.493441,0.583342,0.803236,0.982867,1.013828,1.489694,NaN,NaN,NaN
0.540005,0.579121,0.812768,0.859623,0.960439,1.408280,NaN,NaN,NaN
0.491678,0.542180,0.854119,0.915575,1.092696,1.496956,NaN,NaN,NaN
0.554219,0.562410,0.839134,0.975885,0.983247,1.421899,NaN,NaN,NaN
0.557055,0.602463,0.838754,0.908062,1.065262,1.395080,NaN,NaN,NaN
0.533695,0.577975,0.861570,1.020183,0.950897,1.441086,NaN,NaN,NaN
0.550515,0.570435,0.810002,0.960411,1.092928,1.565416,NaN,NaN,NaN
0.484305,0.567993,0.806564,0.930092,1.060489,1.378689,NaN,NaN,NaN
0.505305,0.620828,0.791013,1.007713,0.993809,1.405038,NaN,NaN,NaN
0.515617,0.581672,0.803289,0.955502,1.086863,1.439069,NaN,NaN,NaN
0.516579,0.575088,0.803269,0.913319,1.015458,1.400321,NaN,NaN,NaN
0.509437,0.567614,0.852599,0.951939,0.944473,1.504952,NaN,NaN,NaN
0.521574,0.557597,0.824233,0.932047,1.009785,1.425877,NaN,NaN,NaN
0.498095,0.578180,0.798945,0.926085,1.062318,1.413323,NaN,NaN,NaN
0.493445,0.577827,0.787383,0.972151,1.031305,1.345428,NaN,NaN,NaN
0.513922,0.553467,0.835526,0.887636,1.008776,1.466473,NaN,NaN,NaN
0.539950,0.585922,0.723487,0.908833,0.980858,1.494108,NaN,NaN,NaN
0.567055,0.587372,0.865241,0.867249,1.042319,1.406662,NaN,NaN,NaN
0.501989,0.590871,0.842859,0.980164,1.046862,1.443410,NaN,NaN,NaN
0.523243,0.575364,0.766694,0.941446,0.986663,1.403300,NaN,NaN,NaN
0.531618,0.542749,0.803764,0.969125,1.009164,1.429983,NaN,NaN,NaN
0.545332,0.598723,0.895777,0.957366,1.035243,1.371341,NaN,NaN,NaN
0.497653,0.620962,0.828644,0.938829,0.984426,1.503654,NaN,NaN,NaN
0.497930,0.615004,0.831465,0.963863,0.981410,1.443343,NaN,NaN,NaN
0.550772,0.537407,0.772416,0.933340,1.086354,1.475105,NaN,NaN,NaN
0.523566,0.576506,0.832297,0.939284,0.968635,1.467279,NaN,NaN,NaN
0.497748,0.609821,0.830613,0.911032,1.109383,1.490256,NaN,NaN,NaN
0.497666,0.592821,0.854681,0.881779,1.092203,1.513481,NaN,NaN,NaN
0.527835,0.521681,0.770664,0.954200,0.984277,1.516641,NaN,NaN,NaN
0.508466,0.576581,0.938540,0.902593,0.973079,1.402973,NaN,NaN,NaN
0.505968,0.547142,0.821391,0.903508,1.021506,1.341635,NaN,NaN,NaN
0.535875,0.546567,0.842372,0.914254,0.978837,1.435287,NaN,NaN,NaN
0.511679,0.569899,0.854837,0.937369,1.033119,1.489070,NaN,NaN,NaN
0.555338,0.562028,0.832538,0.974910,1.074367,1.437685,NaN,NaN,NaN
0.528746,0.592128,0.833998,0.954337,1.023479,1.347762,NaN,NaN,NaN
0.545581,0.525413,0.873744,0.928697,1.046193,1.519525,NaN,NaN,NaN
