cam1_X,cam1_Y,cam2_X,cam2_Y
783.999019,528.316397,410.836787,542.490841
803.167357,531.967509,430.917903,544.316397
863.410706,543.377234,488.422918,547.511120
882.579044,547.028346,508.960423,548.880287
778.978740,508.691670,417.226233,523.322503
799.516245,512.799171,435.938182,525.604448
858.846816,522.839729,494.812364,528.342782
879.840710,527.860008,514.437091,530.624727
760.723180,502.302224,434.152130,515.521297
889.881268,493.174444,512.008042,498.914813
757.984846,485.415831,437.363086,501.348888
778.978740,489.523332,456.835683,504.188642
797.690689,493.174444,475.902601,506.217037
885.773767,474.462495,518.093229,479.442216
783.999019,437.038597,426.815429,455.912828
804.992913,441.146098,446.693705,457.941223
823.704863,444.340821,466.977661,459.969619
827.239352,465.738334,492.535445,473.762708
882.918810,455.089257,525.395453,461.592335
780.383414,416.752581,430.466541,436.845909
801.681568,421.620731,452.373213,439.279984
821.154165,425.880361,471.845810,441.308380
878.354920,435.008141,529.954317,443.910817
