pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.789791,0.839003,1.251851,0.597682,0.631286,0.881646,NaN,NaN,NaN
0.719013,0.863510,1.227569,0.656629,0.651927,0.928103,NaN,NaN,NaN
0.798426,0.768222,1.068738,0.621989,0.658341,0.944408,NaN,NaN,NaN
0.767517,0.852819,1.111708,0.614630,0.679487,0.976258,NaN,NaN,NaN
0.814487,0.775734,1.157206,0.616122,0.657840,0.980462,NaN,NaN,NaN
0.840429,0.837238,1.209563,0.578883,0.672821,0.898429,NaN,NaN,NaN
0.789906,0.811820,1.162145,0.630129,0.635323,0.950024,NaN,NaN,NaN
0.769228,0.881778,1.314208,0.620953,0.631305,0.924242,NaN,NaN,NaN
0.785099,0.841486,1.227254,0.588072,0.634184,0.955010,NaN,NaN,NaN
0.820381,0.800828,1.107406,0.631883,0.646758,1.009970,NaN,NaN,NaN
0.796489,0.817825,1.149372,0.602457,0.651826,0.883433,NaN,NaN,NaN
0.796567,0.832083,1.246327,0.607268,0.660730,0.963500,NaN,NaN,NaN
0.730900,0.882024,1.206222,0.581939,0.629768,0.948768,NaN,NaN,NaN
0.757670,0.900456,1.325804,0.624747,0.636895,0.936648,NaN,NaN,NaN
0.799718,0.837258,1.196015,0.591510,0.664548,0.862301,NaN,NaN,NaN
0.734192,0.862286,1.252973,0.595195,0.672736,0.925284,NaN,NaN,NaN
0.718126,0.812816,1.192238,0.616433,0.670826,0.897967,NaN,NaN,NaN
0.780923,0.850719,1.186280,0.618205,0.639345,0.947983,NaN,NaN,NaN
0.768759,0.849197,1.317350,0.645652,0.609295,0.837839,NaN,NaN,NaN
0.734576,0.777171,1.144268,0.615984,0.705209,0.958096,NaN,NaN,NaN
0.786321,0.899093,1.195910,0.640354,0.635834,0.907800,NaN,NaN,NaN
0.816427,0.846704,1.228106,0.618909,0.626514,0.908102,NaN,NaN,NaN
0.802719,0.924614,1.309126,0.585873,0.657007,0.988711,NaN,NaN,NaN
0.750312,0.860316,1.209667,0.580674,0.696148,0.977007,NaN,NaN,NaN
0.775846,0.816968,1.176249,0.634948,0.667850,0.885960,NaN,NaN,NaN
0.766568,0.853679,1.207955,0.618970,0.594437,0.952561,NaN,NaN,NaN
0.765431,0.907364,1.203549,0.626673,0.664231,1.001513,NaN,NaN,NaN
0.755820,0.813492,1.192436,0.614167,0.668014,0.870474,NaN,NaN,NaN
0.749681,0.894726,1.212911,0.591145,0.616892,0.917078,NaN,NaN,NaN
0.739582,0.778630,1.167979,0.615032,0.667332,0.903887,NaN,NaN,NaN
0.749933,0.868563,1.262818,0.651498,0.642004,0.971965,NaN,NaN,NaN
0.743643,0.833082,1.208064,0.608506,0.732781,0.909659,NaN,NaN,NaN
0.752808,0.804875,1.179657,0.617391,0.650815,0.934825,NaN,NaN,NaN
0.786432,0.764520,1.119844,0.591519,0.693726,0.970766,NaN,NaN,NaN
0.761165,0.831449,1.271063,0.587215,0.616345,0.997488,NaN,NaN,NaN
0.828143,0.875906,1.262239,0.596103,0.654436,0.903138,NaN,NaN,NaN
0.760843,0.781694,1.194955,0.584505,0.685045,0.899352,NaN,NaN,NaN
0.765506,0.877364,1.247686,0.579379,0.656138,0.944910,NaN,NaN,NaN
0.752497,0.798701,1.182141,0.615253,0.666720,0.957497,NaN,NaN,NaN
0.778577,0.831745,1.190566,0.622455,0.649359,0.888490,NaN,NaN,NaN
0.790643,0.872294,1.176616,0.630514,0.615874,0.919489,NaN,NaN,NaN
0.789895,0.774350,1.181056,0.596788,0.617878,0.944188,NaN,NaN,NaN
