pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.660542,0.771645,1.157470,0.600849,0.676071,0.970887
0.761141,0.833180,1.229935,0.606920,0.686550,0.973466
0.763175,0.770080,1.127749,0.651211,0.619710,0.902313
0.756047,0.827700,1.209734,0.572446,0.668976,0.936430
0.760448,0.786713,1.133490,0.631824,0.643357,0.973466
0.824170,0.797666,1.127493,0.638587,0.622797,0.945661
0.702086,0.761281,1.156791,0.581876,0.656647,0.945291
0.695955,0.741275,1.122701,0.607688,0.647493,0.876747
0.727663,0.782136,1.163598,0.617419,0.666216,1.008710
0.721784,0.776087,1.210817,0.590749,0.633941,1.020956
0.803448,0.861254,1.112997,0.597213,0.589962,0.883036
0.697415,0.789018,1.228431,0.611373,0.659609,0.988846
0.739229,0.814948,1.211892,0.641588,0.678491,1.015570
0.738646,0.789244,1.066060,0.584813,0.635003,0.947664
0.733768,0.780227,1.137614,0.574583,0.669969,0.910983
0.744997,0.816390,1.177588,0.671230,0.644805,0.935830
0.843216,0.789787,1.206996,0.643437,0.630768,1.018015
0.753910,0.833707,1.237311,0.597572,0.714374,0.966082
0.688202,0.811498,1.175106,0.635860,0.655951,1.010218
0.722108,0.767138,1.097590,0.588123,0.707442,1.001312
0.764268,0.733067,1.165037,0.637517,0.623154,0.926445
0.741221,0.809207,1.137141,0.593502,0.693834,0.935604
0.752928,0.829006,1.167993,0.597121,0.692506,0.941175
0.723199,0.820120,1.256370,0.568190,0.681241,0.906540
0.783912,0.803045,1.195051,0.621754,0.640292,0.932470
0.683217,0.865106,1.120385,0.580714,0.662897,0.903322
0.727608,0.837868,1.260391,0.645594,0.608750,0.939781
0.789629,0.754809,1.136820,0.605341,0.654686,1.014626
0.727343,0.800503,1.137982,0.639094,0.727333,0.947395
0.770579,0.777335,1.153673,0.598501,0.671363,0.974912
0.788634,0.769321,1.157544,0.633752,0.660894,0.965522
0.724886,0.753886,1.208178,0.621692,0.646618,0.924165
0.803865,0.894937,1.198629,0.620401,0.666101,0.876330
0.726756,0.816518,1.128957,0.579877,0.603030,0.930713
0.720974,0.851637,1.204393,0.608845,0.685661,0.900376
0.760021,0.840694,1.150697,0.567404,0.712259,0.923296
0.730557,0.821077,1.217905,0.616664,0.662726,0.933833
0.787260,0.873157,1.321034,0.585710,0.673573,1.005023
0.718991,0.860924,1.181396,0.575501,0.637625,0.898648
0.747384,0.879520,1.232976,0.610540,0.658067,0.884269
0.830426,0.802788,1.202321,0.611466,0.711997,0.916350
0.751401,0.862674,1.148508,0.602642,0.682209,0.966866
0.739361,0.844818,1.163395,0.593787,0.632962,0.912334
0.782296,0.847180,1.148468,0.605690,0.686353,1.008787
0.729402,0.773861,1.128588,0.613244,0.670472,1.005400
0.780636,0.863774,1.120564,0.605106,0.648022,0.888247
0.756614,0.826649,1.250191,0.617948,0.645193,0.960956
0.752515,0.803080,1.147302,0.628534,0.687792,0.939800
0.751691,0.839344,1.218714,0.656030,0.628419,0.869242
0.713272,0.836106,1.182004,0.644992,0.668122,0.950389
0.736086,0.864206,1.207968,0.654948,0.676610,0.860409
0.775807,0.828173,1.202691,0.606892,0.642723,0.870999
0.683749,0.885683,1.315517,0.611356,0.741901,0.952797
0.710025,0.832174,1.273390,0.604600,0.651005,0.893357
0.755152,0.848849,1.182291,0.538146,0.636077,0.935259
0.680826,0.808490,1.105365,0.624804,0.636753,0.906579
0.764553,0.784672,1.098455,0.563775,0.638646,0.983812
0.749688,0.821220,1.128516,0.599678,0.659111,0.929049
0.735584,0.847627,1.216246,0.637753,0.690476,0.986315
0.726883,0.777202,1.151365,0.637091,0.686673,0.935620
0.795329,0.892706,1.215879,0.593439,0.658604,0.955012
0.772505,0.866450,1.115812,0.570273,0.694896,0.960414
0.736560,0.893120,1.203617,0.635605,0.614321,0.894992
0.727611,0.838182,1.200305,0.639424,0.638208,0.987856
0.743243,0.813593,1.133150,0.601601,0.669643,0.881428
0.742774,0.810631,1.135723,0.638650,0.657370,0.917169
0.693298,0.838322,1.127954,0.589810,0.656726,0.952475
0.696475,0.772061,1.224250,0.641282,0.696734,0.946801
0.759529,0.788821,1.174942,0.643418,0.692944,1.003115
0.717764,0.866186,1.203410,0.583150,0.617498,0.882167
0.723822,0.864130,1.125133,0.607441,0.642246,0.932549
0.764789,0.839355,1.138562,0.615335,0.709341,0.915280
0.740722,0.782947,1.156128,0.588074,0.705549,0.916695
0.724414,0.834823,1.261512,0.598630,0.649322,0.932083
0.689504,0.812263,1.139596,0.613890,0.649910,0.939967
0.696397,0.846285,1.199828,0.608360,0.633350,0.944948
0.779248,0.861960,1.295952,0.615272,0.697369,0.917498
0.721934,0.823648,1.160093,0.644371,0.676549,0.978603
0.665027,0.764617,1.075944,0.600835,0.641526,0.877591
0.789275,0.768523,1.106364,0.584155,0.630074,0.977170
0.751618,0.821086,1.228928,0.595792,0.679784,0.969151
0.790045,0.800856,1.262378,0.604154,0.641403,0.927282
0.734118,0.807459,1.247152,0.643019,0.683868,0.985327
0.740201,0.768798,1.106758,0.593206,0.661892,0.996807
0.722674,0.828588,1.170314,0.646820,0.626818,0.965352
0.711985,0.808210,1.114504,0.576511,0.701785,1.098151
0.788722,0.782359,1.134779,0.649209,0.679871,1.005384
0.689402,0.794817,1.242764,0.664011,0.674290,1.011896
0.757600,0.816848,1.104638,0.663735,0.625855,0.972842
0.727361,0.726827,1.141832,0.602218,0.721237,0.956270
0.744738,0.804199,1.142196,0.591602,0.679881,0.950804
0.742874,0.825383,1.145916,0.618599,0.670311,0.964781
0.687855,0.826643,1.187442,0.645038,0.681092,0.928512
0.703240,0.789005,1.147208,0.606715,0.673794,0.870563
0.715769,0.826175,1.145238,0.642575,0.706900,0.991128
0.777814,0.786070,1.226900,0.573059,0.653138,0.963819
0.720249,0.838093,1.133132,0.580110,0.655977,0.850137
0.758701,0.794497,1.071208,0.661930,0.671621,0.983308
0.794152,0.804035,1.087951,0.642452,0.657734,0.915951
0.709532,0.743272,1.128683,0.602024,0.666822,1.028135
0.740557,0.805105,1.187298,0.583244,0.714939,0.972035
0.812372,0.733827,1.138019,0.611151,0.668992,0.908023
0.795454,0.818707,1.184430,0.617430,0.662390,0.954223
0.729001,0.758681,1.177149,0.639237,0.686273,0.922105
0.734427,0.789378,1.099312,0.620109,0.701798,1.032564
0.769663,0.802020,1.146195,0.605107,0.657987,0.968198
