pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
44.527589,-10.701686,22.512090,25.287793,-21.610923,25.778730,NaN,NaN,NaN
46.245011,-13.658509,21.057631,25.533725,-21.287020,25.372559,NaN,NaN,NaN
47.619417,-15.855658,19.888318,25.737753,-20.896976,25.041680,NaN,NaN,NaN
48.663860,-17.351370,18.996186,25.897589,-20.452934,24.785674,NaN,NaN,NaN
49.405319,-18.257660,18.363927,26.009388,-19.980543,24.602966,NaN,NaN,NaN
49.883213,-18.720330,17.964854,26.070332,-19.517093,24.488940,NaN,NaN,NaN
50.144749,-18.889327,17.765198,26.082044,-19.103941,24.434233,NaN,NaN,NaN
50.239207,-18.894221,17.727500,26.052657,-18.776907,24.425276,NaN,NaN,NaN
50.213218,-18.831392,17.813801,25.995618,-18.560109,24.447762,NaN,NaN,NaN
50.107539,-18.761247,17.988127,25.924979,-18.464997,24.490649,NaN,NaN,NaN
49.955419,-18.713403,18.218235,25.851161,-18.491350,24.547501,NaN,NaN,NaN
49.782395,-18.696989,18.476593,25.779606,-18.627172,24.614863,NaN,NaN,NaN
49.607025,-18.710380,18.740733,25.711943,-18.847767,24.690007,NaN,NaN,NaN
49.442030,-18.747307,18.993209,25.648366,-19.116678,24.769337,NaN,NaN,NaN
49.295258,-18.798837,19.221431,25.589744,-19.391186,24.847745,NaN,NaN,NaN
49.170461,-18.853419,19.417351,25.538481,-19.631655,24.919038,NaN,NaN,NaN
49.068694,-18.899454,19.576604,25.497957,-19.809677,24.977354,NaN,NaN,NaN
48.989846,-18.928945,19.697410,25.471169,-19.911494,25.019025,NaN,NaN,NaN
48.933648,-18.939776,19.779659,25.459700,-19.937484,25.043596,NaN,NaN,NaN
48.899870,-18.934780,19.824394,25.463374,-19.899949,25.053448,NaN,NaN,NaN
48.887847,-18.918419,19.833705,25.479977,-19.819813,25.052706,NaN,NaN,NaN
48.895855,-18.893319,19.810839,25.505219,-19.722255,25.046062,NaN,NaN,NaN
48.920905,-18.858965,19.760212,25.533675,-19.632182,25.037618,NaN,NaN,NaN
48.959054,-18.812851,19.687147,25.560171,-19.570252,25.030048,NaN,NaN,NaN
49.006221,-18.753412,19.597274,25.581185,-19.547713,25.024253,NaN,NaN,NaN
49.059050,-18.682893,19.495826,25.595391,-19.562517,25.019804,NaN,NaN,NaN
49.114848,-18.607933,19.387427,25.603388,-19.600386,25.016602,NaN,NaN,NaN
49.171066,-18.538130,19.276193,25.607780,-19.640856,25.017498,NaN,NaN,NaN
49.224915,-18.482794,19.165818,25.614138,-19.666183,25.031295,NaN,NaN,NaN
49.273393,-18.447499,19.059497,25.632648,-19.667274,25.075080,NaN,NaN,NaN
49.313747,-18.433029,18.959627,25.678901,-19.645128,25.174354,NaN,NaN,NaN
49.344197,-18.435381,18.867381,25.772326,-19.608330,25.359084,NaN,NaN,NaN
49.364615,-18.445938,18.782289,25.931987,-19.567970,25.655690,NaN,NaN,NaN
49.376510,-18.452471,18.702036,26.169851,-19.534118,26.077298,NaN,NaN,NaN
49.382512,-18.442529,18.622342,26.483757,-19.514615,26.615493,NaN,NaN,NaN
49.385792,-18.408761,18.536839,26.854650,-19.514911,27.238281,NaN,NaN,NaN
49.389529,-18.352068,18.437223,27.254470,-19.535568,27.900218,NaN,NaN,NaN
49.396489,-18.281954,18.313725,27.663051,-19.568981,28.561310,NaN,NaN,NaN
49.408671,-18.213182,18.155923,28.075898,-19.608441,29.195273,NaN,NaN,NaN
49.426863,-18.159367,17.953916,28.499014,-19.660447,29.784794,NaN,NaN,NaN
49.449894,-18.125503,17.699889,28.937103,-19.749769,30.312680,NaN,NaN,NaN
49.473758,-18.102354,17.389823,29.383896,-19.909923,30.757902,NaN,NaN,NaN
49.491631,-18.066476,17.024612,29.823307,-20.155982,31.104289,NaN,NaN,NaN
49.495237,-17.986217,16.610207,30.242825,-20.452791,31.358966,NaN,NaN,NaN
49.476896,-17.829686,16.157162,30.648060,-20.712788,31.558680,NaN,NaN,NaN
49.431242,-17.571615,15.679987,31.071557,-20.829467,31.756121,NaN,NaN,NaN
49.356270,-17.198633,15.196221,31.569137,-20.716561,31.998725,NaN,NaN,NaN
49.253835,-16.712534,14.725045,32.201366,-20.343364,32.313275,NaN,NaN,NaN
