pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
22.178103,-10.934624,-2.358508,-2.756683,-9.353328,-10.198118,8.079414,-14.954869,-1.177435
21.650076,-11.038421,-1.827497,-2.969984,-9.775922,-10.236559,7.650591,-15.235678,-0.946053
21.657651,-10.152593,-1.106184,-3.229759,-9.909701,-9.975435,6.967396,-15.270759,-0.648258
21.435076,-9.764375,-1.266592,-3.684559,-10.219153,-9.719813,6.881718,-15.403055,-0.871829
20.986787,-9.697817,-0.606083,-4.235241,-10.503359,-9.527968,6.816107,-15.502576,-1.045559
20.491451,-9.790476,-0.785512,-4.579493,-10.713924,-9.865954,6.744998,-15.612376,-1.231114
20.585897,-10.110060,-0.578410,-4.740651,-10.448427,-10.264623,6.111842,-15.590659,-1.028823
20.442151,-8.977978,-0.646485,-5.006652,-11.094168,-10.831418,5.592993,-15.443161,-1.224909
20.199990,-8.736763,-0.263158,-5.198830,-11.120821,-10.859261,5.375357,-15.500732,-1.365451
19.718324,-8.641026,-0.162496,-5.192992,-10.949407,-10.574603,5.313703,-15.613873,-1.064458
20.257324,-9.083079,-0.528542,-4.708170,-10.632081,-10.428473,5.758347,-15.556410,-1.238973
20.051830,-8.872340,-0.235917,-4.775855,-10.969786,-10.484477,5.749849,-15.567693,-1.263591
20.253493,-9.485261,-0.326745,-4.933057,-11.513174,-10.702088,5.480377,-15.306286,-0.895358
19.982375,-9.341656,-0.314210,-5.274179,-11.938063,-10.684101,5.474168,-15.379140,-0.881202
19.855076,-9.697811,-0.902786,-5.574174,-11.364826,-10.606983,5.362478,-15.648311,-0.654557
19.946589,-9.619252,-0.781113,-5.543198,-11.050921,-10.842520,5.332274,-15.711942,-0.773326
19.857910,-9.404951,-0.847703,-5.204094,-11.124225,-11.113372,5.158906,-15.672580,-0.857833
19.869088,-9.198855,-0.897578,-5.362715,-11.028171,-10.943548,5.048473,-15.657571,-0.927941
19.883385,-9.358912,-0.785625,-5.379316,-10.911809,-10.763127,5.233598,-15.932224,-1.306785
19.644182,-8.863860,-0.031378,-5.546387,-11.055453,-10.644551,4.932620,-16.453114,-1.014059
19.699651,-8.710250,0.398710,-5.340657,-11.160402,-10.771514,4.939742,-16.447542,-0.988061
19.197599,-9.173614,0.460855,-5.357177,-11.184682,-10.811855,4.620408,-16.262655,-0.749690
18.941505,-9.404004,0.009943,-5.433192,-11.213278,-11.247377,4.240864,-16.041153,-0.731045
18.972524,-9.302023,0.144100,-5.404351,-10.937482,-11.549154,4.128572,-16.212592,-1.022110
19.000750,-9.394972,-0.008264,-5.293231,-10.996068,-11.645231,4.230423,-15.941626,-0.957898
19.046922,-9.284975,0.178464,-5.211463,-11.025926,-11.636318,4.213963,-15.900762,-0.908187
19.050974,-9.350369,0.064340,-5.288777,-10.949501,-11.557421,4.175518,-15.862278,-0.846271
19.222919,-9.307333,0.148576,-5.524594,-10.887295,-11.508092,4.178398,-15.879022,-0.874124
19.458129,-9.043464,-0.129698,-5.686373,-11.007958,-11.726302,4.300251,-15.654502,-1.219353
19.460791,-9.030355,-0.126161,-5.905603,-11.010922,-11.765273,4.427473,-15.401004,-1.547343
19.257334,-8.817965,0.166578,-5.867072,-11.048959,-11.431768,4.221441,-15.825752,-1.122509
19.377977,-8.930024,0.093081,-5.706583,-10.824894,-11.038613,4.154812,-16.130910,-0.902359
19.105697,-8.848715,0.185720,-5.949457,-11.196384,-10.978819,4.155857,-16.113385,-0.862352
19.228799,-9.049029,-0.162437,-5.895591,-11.336779,-11.128578,4.195568,-16.153485,-0.932181
19.477505,-9.363187,0.161490,-5.654062,-11.207912,-11.251792,4.198652,-16.110547,-0.865560
19.329421,-9.363699,0.078242,-5.760546,-11.114027,-11.149291,4.164146,-16.051905,-0.783758
19.172027,-9.233997,0.213539,-6.168229,-11.248311,-11.058329,4.012764,-15.969951,-0.685297
